Date,Ticker,Shares,Price,Value,Total_Portfolio_Value
2025-10-20,AAPL,1.22132351,262.24,320.28,1190.42
2025-10-20,COST,0.01505891,936.11,14.1,1190.42
2025-10-20,DDOG,0.0733317,156.29,11.46,1190.42
2025-10-20,ET,0.00611246,16.77,0.1,1190.42
2025-10-20,GLD,0.17592548,403.15,70.92,1190.42
2025-10-20,GOOGL,1.2909228,256.55,331.19,1190.42
2025-10-20,LOVE,0.33173608,14.81,4.91,1190.42
2025-10-20,MSFT,0.15211309,516.79,78.61,1190.42
2025-10-20,RACE,0.01495789,398.31,5.96,1190.42
2025-10-20,SPCE,0.33550544,4.14,1.39,1190.42
2025-10-20,TAN,0.21161533,47.24,10.0,1190.42
2025-10-20,TSLA,0.28245066,447.43,126.38,1190.42
2025-10-20,VOO,0.23258624,617.17,143.55,1190.42
2025-10-20,VOOG,0.00371904,438.07,1.63,1190.42
2025-10-20,WMT,0.62544321,107.05,66.95,1190.42
