Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2025-09-19,IOBT,28.0,1.57,43.96,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-22,SPRO,22.0,2.0,44.0,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-22,ABAT,18.0,3.0,54.0,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-23,ABAT,,,18.0,5.280000686645508,MANUAL SELL LIMIT - ,6.0,3.87
2025-09-24,SPRO,11.0,2.01,22.11,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-30,IOBT,,,43.96,-33.4572,MANUAL SELL LIMIT - ,28.0,0.3751
2025-10-06,ABAT,,,12.0,8.799999237060547,MANUAL SELL LIMIT - ,4.0,5.22
2025-10-08,BEEM,9.0,3.35,30.15,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-14,ABAT,,,12.0,19.600000381469727,MANUAL SELL LIMIT - ,4.0,7.8
2025-10-14,ABAT,,,6.0,14.0,MANUAL SELL LIMIT - ,2.0,10.0
2025-10-15,ABAT,,,6.0,16.809999465942383,MANUAL SELL LIMIT - ,2.0,9.61
2025-10-16,SPRO,,,66.11,17.049999999999997,MANUAL SELL LIMIT - ,33.0,2.52
2025-10-16,BEEM,,,30.15,-0.0900000000000034,MANUAL SELL LIMIT - ,9.0,3.34
2025-10-20,TKNO,9.0,5.23,47.07000000000001,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-20,SPRO,31.0,2.22,68.82000000000001,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-20,MAMA,6.0,10.7,64.19999999999999,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-23,SPRO,,,68.82000000000001,0.6200000000000045,MANUAL SELL LIMIT - ,31.0,2.24
2025-10-27,TKNO,,,47.07000000000001,4.679999999999993,MANUAL SELL LIMIT - ,9.0,5.75
2025-10-27,APYX,30.0,3.21,96.3,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-27,ETON,6.0,18.5,111.0,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-27,MAMA,,,21.4,0.4200000000000017,MANUAL SELL LIMIT - ,2.0,10.91
2025-10-28,MAMA,,,42.8,1.1200000000000043,MANUAL SELL LIMIT - ,4.0,10.98
2025-10-28,CURI,19.0,4.55,86.45,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-31,CURI,,,86.45,-1.9000000000000057,MANUAL SELL LIMIT - ,19.0,4.45
2025-11-03,TNXP,4.0,18.7,74.8,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-06,APYX,,,96.3,-0.8999999999999915,MANUAL SELL LIMIT - ,30.0,3.18
2025-11-07,TNXP,,,74.8,-6.799999999999997,MANUAL SELL LIMIT - ,4.0,17.0
2025-11-07,CAPR,10.0,6.28,62.8,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-10,PEPG,20.0,4.5,90.0,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-10,CAPR,,,31.4,-0.9000000000000021,MANUAL SELL LIMIT - ,5.0,6.1
2025-11-10,OKYO,10.0,2.45,24.5,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-10,OKYO,10.0,2.6643,26.643,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-17,CAPR,,,12.56,-0.7599999999999998,MANUAL SELL LIMIT - ,2.0,5.9
2025-11-17,SLDB,3.0,4.28,12.84,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-19,OKYO,,,2.55715,-9.14,AUTOMATED SELL - STOPLOSS TRIGGERED,20.0,2.1
2025-11-20,OTLK,20.0,1.99,39.8,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-24,PEPG,,,45.0,11.5,MANUAL SELL LIMIT - ,10.0,5.65
2025-11-24,ATRA,2.0,13.9,27.8,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-24,CRDL,32.0,0.98,31.36,0.0,MANUAL BUY LIMIT - Filled,,
2025-11-24,CAPR,,,6.28,-4.14,AUTOMATED SELL - STOPLOSS TRIGGERED,3.0,4.9
2025-11-26,OTLK,,,39.8,-7.729999999999997,MANUAL SELL LIMIT - ,20.0,1.6035
2025-11-27,CRDL,,,15.68,0.8914285713599988,MANUAL SELL LIMIT - ,16.0,1.03571428571
2025-11-27,SGML,5.0,10.7142857143,53.57142857150001,0.0,MANUAL BUY LIMIT - Filled,,
2025-12-01,SGML,,,10.7142857143,0.9357142856999996,MANUAL SELL LIMIT - ,1.0,11.65
2025-12-01,SLDB,,,12.84,2.2803000000000004,MANUAL SELL LIMIT - ,3.0,5.0401
2025-12-01,MIST,14.0,2.5999,36.3986,0.0,MANUAL BUY LIMIT - Filled,,
