ticker,company,sector,industry,pe,fwd_pe,eps_qq,sales_qq,insider_trans,inst_trans,short_float,perf_quarter,perf_half,beta,pct_from_52w_high,recom,avg_volume,rel_volume,price,earnings,target_price,market_cap,data_confidence,momentum_20d,momentum_5d,volume_ratio,rs_vs_iwm,bb_width,above_sma20,pct_vs_sma20,above_sma50,pct_vs_sma50,atr_pct,last_range_pct,low_vol,near_high,vol_5_50,breakout_session,breakout_move_pct,earnings_sessions_ago,post_earnings_move_pct,latest_price,avg_dollar_volume,gate_fail,review_flag,target_upside,rank_low_vol,rank_near_high,rank_squeeze,rank_vol_5_50,rank_vol_ratio,rank_vs_sma50,mom_rank,composite_score,composite_legacy,composite_dedup
CON,Concentra Group Holdings Parent Inc,Healthcare,Medical Care Facilities,23.32,19.27,45.65,10.03,-4.09,1.66,2.43,24.19,61.89,0.6,-3.38,1.0,928610.0,5.24,35.47,Aug 06/a,41.0,4520000000.0,HIGH,1.34,-0.95,5.19,6.63,0.0827,True,2.02,True,6.16,2.504,2.481,-1.2909,-3.38,1.926,3.0,-0.42,30.0,16.14,35.47,32807659.0,,,15.6,0.9060150375939849,0.9743107769423559,0.9028822055137845,0.931077694235589,0.9674185463659147,0.8609022556390977,0.8446115288220551,0.9238,0.8989,0.9164
NWBI,Northwest Bancshares Inc,Financial,Banks - Regional,14.82,10.67,38.52,18.31,0.14,1.7000000000000002,5.59,6.77,26.51,0.69,-4.33,2.75,1090000.0,3.59,15.46,Jul 27/a,16.57,2260000000.0,HIGH,0.26,-0.58,3.69,5.55,0.0302,True,0.28,False,-0.23,1.696,1.94,-0.7286,-4.33,1.666,33.0,-2.64,38.0,0.32,15.46,16333507.0,,,7.2,0.9924812030075187,0.9586466165413534,0.9974937343358397,0.8583959899749374,0.9060150375939849,0.7230576441102757,0.8233082706766918,0.906,0.9004,0.87
CFFN,Capitol Federal Financial,Financial,Banks - Regional,13.68,11.48,34.51,6.5,0.0,0.7,5.67,10.15,26.419999999999998,0.67,-3.8900000000000006,2.33,836410.0,3.79,8.9,Jul 29/b,9.5,1120000000.0,HIGH,4.34,-0.11,3.55,9.63,0.0607,True,1.92,True,1.92,1.806,2.247,-0.7189,-3.89,1.537,5.0,0.91,37.0,1.71,8.9,7824022.0,,,6.7,0.9949874686716792,0.9624060150375939,0.9586466165413534,0.8070175438596491,0.8922305764411027,0.7857142857142857,0.893483709273183,0.9002,0.9127,0.87
NHP,National Healthcare Properties Inc,Real Estate,REIT - Healthcare Facilities,,492.31,66.35,2.58,0.0,53.839999999999996,7.98,11.34,,,-8.36,2.0,746330.0,4.65,16.0,Aug 05/a,18.94,310630000.0,HIGH,-5.66,-0.87,6.3,-0.37,0.0736,False,-1.46,False,-0.55,2.857,2.375,-1.3304,-8.36,1.872,21.0,-5.21,31.0,-0.19,16.0,8924507.0,,,18.4,0.8959899749373433,0.8796992481203008,0.9285714285714286,0.9160401002506265,0.9912280701754386,0.7030075187969925,0.5758145363408521,0.8858,0.8063,0.8766
CVBF,CVB Financial Corp,Financial,Banks - Regional,15.7,11.45,-21.58,37.86,1.15,26.58,5.15,9.08,20.23,0.66,-3.03,1.83,1440000.0,2.21,22.7,Jul 22/a,26.17,4000000000.0,HIGH,0.58,-0.22,2.6,5.87,0.0467,True,1.15,True,0.39,1.803,1.057,-0.9154,-3.03,1.723,25.0,-1.99,41.0,2.07,22.7,27521629.0,,,15.3,0.9636591478696742,0.9805764411027569,0.9761904761904762,0.8759398496240601,0.7462406015037594,0.7468671679197995,0.8295739348370927,0.8816,0.8486,0.8332
FCF,First Commonwealth Financial Corp,Financial,Banks - Regional,12.92,10.73,36.59,0.6,-6.83,1.21,3.29,8.04,25.45,0.74,-5.56,1.83,794080.0,3.14,21.1,Jul 28/a,24.08,2130000000.0,HIGH,0.05,-1.31,3.01,5.34,0.0473,True,0.25,False,-0.28,1.699,1.611,-0.8624,-5.55,1.501,33.0,-2.94,37.0,-1.26,21.1,17455230.0,,,14.1,0.974937343358396,0.9486215538847118,0.9736842105263158,0.7850877192982456,0.8283208020050126,0.7205513784461153,0.8145363408521303,0.8719,0.8664,0.8272
OPCH,Option Care Health Inc,Healthcare,Medical Care Facilities,18.39,11.66,14.13,1.86,3.51,-41.08,8.61,10.5,-16.58,0.57,-33.97,1.79,2310000.0,2.46,24.3,Jul 29/b,28.58,3640000000.0,HIGH,2.53,1.29,2.77,7.82,0.0571,True,1.71,True,4.57,2.769,3.004,-1.5508,-2.64,1.518,3.0,3.32,37.0,8.1,24.3,49151728.0,,,17.6,0.8489974937343359,0.9849624060150376,0.9661654135338346,0.7944862155388471,0.7832080200501254,0.8345864661654135,0.8671679197994987,0.8687,0.8717,0.8153
LFST,LifeStance Health Group Inc,Healthcare,Medical Care Facilities,96.69,57.29,722.45,26.08,-33.07,12.710000000000003,5.6,39.98,94.58,1.23,-7.3,1.45,4340000.0,4.13,12.57,Aug 06/b,14.2,4800000000.0,HIGH,0.8,-6.05,3.31,6.09,0.1041,False,-0.59,True,6.14,3.814,2.307,-1.7068,-7.3,1.895,5.0,-3.08,31.0,21.22,12.57,68605801.0,,,13.0,0.8082706766917294,0.9110275689223057,0.8176691729323309,0.9260651629072681,0.8715538847117794,0.8596491228070176,0.8333333333333334,0.8657,0.8401,0.8664
VIA,Via Transportation Inc,Technology,Software - Application,,65.1,9.93,26.669999999999998,0.18,-0.32,17.72,83.0,99.29,1.29,-49.31,1.1,899660.0,5.58,27.98,Aug 06/b,34.0,2280000000.0,HIGH,3.67,4.52,6.2,8.96,0.1219,True,2.65,True,18.3,4.571,4.182,-2.5227,-3.88,2.015,16.0,1.34,31.0,30.99,27.98,22207481.0,,,21.5,0.5714285714285714,0.9642857142857143,0.7418546365914787,0.9398496240601504,0.9874686716791979,0.9724310776942355,0.8822055137844611,0.8629,0.8717,0.8678
EXPO,Exponent Inc,Industrials,Engineering & Construction,30.66,25.96,16.39,20.89,-4.61,-2.51,6.3,20.06,4.83,0.69,-16.66,1.6,515630.0,2.61,68.3,Jul 30/a,84.0,3250000000.0,HIGH,-2.72,-1.29,2.87,2.57,0.0842,False,-1.36,True,2.24,2.674,3.236,-1.2558,-5.03,1.556,16.0,-2.9,35.0,5.78,68.3,32336579.0,,,23.0,0.9110275689223057,0.9536340852130326,0.8972431077694236,0.8107769423558897,0.8038847117794486,0.793233082706767,0.7005012531328321,0.8616,0.7905,0.8297
FBP,First Bancorp PR,Financial,Banks - Regional,11.62,10.82,25.64,4.7,-1.42,-2.79,4.44,9.44,33.95,0.83,-7.7,1.57,1420000.0,3.51,27.58,Jul 22/b,31.71,4210000000.0,HIGH,-3.3,-2.02,3.66,1.99,0.0449,False,-1.5,False,-2.58,1.896,1.269,-1.0192,-7.7,1.527,26.0,-5.58,42.0,-0.22,27.58,38130054.0,,,15.0,0.949874686716792,0.8984962406015038,0.9786967418546366,0.8020050125313283,0.9047619047619048,0.6328320802005013,0.6766917293233082,0.8611,0.8357,0.8224
HOPE,Hope Bancorp Inc,Financial,Banks - Regional,14.04,9.28,218.18,17.81,-1.12,-0.1,5.17,8.72,28.78,0.85,-4.34,2.0,1040000.0,2.47,13.96,Jul 27/b,15.5,1780000000.0,HIGH,-0.07,-0.64,2.99,5.22,0.0311,True,0.15,True,0.15,1.965,1.862,-0.8873,-4.32,1.317,26.0,-2.38,39.0,3.79,13.96,11953297.0,,,11.0,0.9711779448621554,0.9598997493734336,0.9962406015037594,0.649749373433584,0.825187969924812,0.7355889724310777,0.8032581453634086,0.8563,0.8677,0.7954
HRMY,Harmony Biosciences Holdings Inc,Healthcare,Biotechnology,13.62,9.82,88.57,30.320000000000004,-0.89,-3.45,10.29,26.26,51.1,1.0,-3.38,1.82,851780.0,4.49,42.02,Aug 04/b,47.36,2450000000.0,HIGH,10.14,1.16,3.72,15.43,0.1457,True,2.62,True,9.25,2.971,3.26,-1.7524,-3.38,1.813,13.0,6.7,33.0,18.03,42.02,42612807.0,,,12.7,0.7957393483709273,0.9743107769423559,0.6265664160401003,0.8991228070175439,0.9091478696741855,0.9122807017543859,0.9573934837092731,0.8529,0.8437,0.8791
