ticker,company,sector,industry,pe,fwd_pe,eps_qq,sales_qq,insider_trans,inst_trans,short_float,perf_quarter,perf_half,beta,pct_from_52w_high,recom,avg_volume,rel_volume,price,earnings,target_price,market_cap
AADX,Applied Aerospace & Defense Inc,Industrials,Aerospace & Defense,,,-3159.49,47.42,0.05,31.05,6.95,-32.2,,,-47.36,1.38,1360000.0,6.03,12.76,Aug 12/b,25.75,2200000000.0
AAL,American Airlines Group Inc,Industrials,Airlines,,5.79,-88.18,16.28,-3.2799999999999994,12.19,11.59,-18.95,20.0,1.38,-31.03,2.21,96620000.0,0.53,12.96,Jul 23/b,18.02,8580000000.0
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,,18.94,-74.24,86.42,-11.86,-2.69,15.01,-35.02,3.19,3.84,-54.99000000000001,1.88,10140000.0,0.98,105.17,Aug 06/a,170.5,8930000000.0
AAON,AAON Inc,Industrials,Building Products & Equipment,40.15,21.7,262.51,101.23,-1.09,-0.06,6.81,-43.86,-4.11,1.42,-48.98,1.33,1120000.0,1.33,76.76,Aug 10/b,132.8,6330000000.0
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,30.88,10.86,263.7,-0.5,0.0,2.27,16.55,-29.2,-11.98,1.08,-34.74,3.04,1940000.0,1.18,42.55,Aug 20/b,50.21,2570000000.0
ABAT,American Battery Technology Company,Industrials,Waste Management,,,-39.66,196.6,-2.82,2.31,15.75,-30.130000000000003,-28.050000000000004,1.31,-81.03,1.0,3380000.0,1.78,2.18,Sep 14/b,6.0,310820000.0
ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,,,-120.75,2745.0,-5.2,0.8199999999999998,29.92,-3.47,22.69,1.29,-27.190000000000005,1.0,1480000.0,1.87,5.57,Aug 13/b,18.88,318510000.0
ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,66.67,7.35,-257.57,-3.04,0.43,3.2199999999999998,24.58,-17.69,-45.34,1.19,-65.96,3.4,3950000.0,2.93,4.28,Jul 31/b,5.88,798470000.0
ABSI,Absci Corp,Healthcare,Biotechnology,,,11.98,-46.37,0.21,18.27,24.84,30.23,213.31000000000003,2.3,-19.95,1.18,4460000.0,1.73,9.65,Aug 11/a,14.4,1660000000.0
ABTC,American Bitcoin Corp,Financial,Capital Markets,,147.02,84.59,4766.74,1.55,3.6799999999999997,18.69,-20.82,-33.99,3.96,-91.59,1.0,1680000.0,2.94,10.1,Aug 03/b,23.33,735480000.0
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,6.4,,-298.47,-90.56,0.0,0.58,11.99,10.11,14.649999999999999,0.75,-8.07,1.0,3210000.0,2.01,5.01,Aug 12/b,5.5,992510000.0
ABX,Abacus Global Management Inc,Financial,Insurance - Life,30.71,7.49,-62.74000000000001,29.87,-0.68,1.38,14.34,-5.19,-2.77,0.06,-29.5,1.38,593140.0,3.09,8.77,Aug 06/a,14.31,857640000.0
ACA,Arcosa Inc,Industrials,Engineering & Construction,54.57,29.96,-152.41,-10.61,0.0,-2.26,2.62,7.359999999999999,42.74,1.08,-0.74,3.0,825120.0,1.51,145.84,Aug 05/a,147.5,7160000000.0
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,12.29,29.8,15.24,16.4,-3.38,1.39,5.73,26.229999999999997,31.71,0.86,-11.85,1.65,1670000.0,3.28,27.29,Aug 04/a,33.89,4700000000.0
ACCO,Acco Brands Corp,Industrials,Business Equipment & Supplies,6.72,4.33,-52.96999999999999,5.14,-2.19,0.61,7.03,6.92,38.08,1.17,-8.52,1.0,754120.0,2.47,4.17,Jul 30/a,8.0,384920000.0
ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,,,33.5,-0.76,1.31,3.4000000000000004,17.4,-14.829999999999998,-21.31,1.49,-37.1,4.5,1590000.0,1.11,5.17,Aug 06/b,5.38,941570000.0
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,,15.53,-64.09,-0.39,0.0,-0.13,25.94,13.91,23.39,0.62,-20.93,1.93,2520000.0,1.06,28.33,Jul 28/a,33.57,2640000000.0
ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,,,5.34,,-0.45999999999999996,2.19,15.16,-5.57,-12.48,3.26,-64.02,1.78,33850000.0,1.39,5.26,Aug 10/a,10.61,4050000000.0
ACHV,Achieve Life Sciences Inc,Healthcare,Biotechnology,,,-118.04999999999998,,-0.06,51.62,23.56,64.54,95.11,2.31,-7.64,1.0,1860000.0,1.52,7.98,Aug 11/b,14.27,821160000.0
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,165.11,,-58.62,0.24,0.08,-3.4099999999999997,16.75,-8.18,-28.78,0.38,-38.25,2.55,8490000.0,1.8,12.35,Jul 23/b,14.19,5990000000.0
ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,23.0,17.1,169.34,7.2700000000000005,0.0,2.3,6.37,14.02,26.69,0.98,-17.7,1.4,1020000.0,1.65,50.27,Aug 06/b,67.33,5080000000.0
ACM,AECOM,Industrials,Engineering & Construction,22.63,9.71,-149.62,-14.180000000000001,1.18,2.8,4.5,-9.91,-31.370000000000005,0.92,-54.26,1.5,2020000.0,1.82,61.99,Aug 10/a,84.18,7980000000.0
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,32.54,21.64,180.57,36.01,-2.79,7.17,6.83,-37.64,47.02,2.11,-46.14,1.25,1180000.0,1.35,68.51,Aug 07/b,121.71,4770000000.0
ACP,abrdn Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,,,,,,,0.26,-11.76,-12.1,0.78,-21.59,,596350.0,1.09,4.65,-,,583440000.0
ACRS,Aclaris Therapeutics Inc,Healthcare,Biotechnology,,,-19.7,-8.33,-0.89,4.65,13.35,22.22,47.06,0.88,-16.67,1.15,2210000.0,2.12,5.5,Aug 06/b,10.58,809590000.0
ACVA,ACV Auctions Inc,Consumer Cyclical,Auto & Truck Dealerships,,30.48,-12.38,10.45,0.0,0.9399999999999998,9.85,61.73,121.56,1.75,-0.66,2.8,6600000.0,1.71,10.48,Aug 10/a,9.92,1780000000.0
ADAM,Adamas Trust Inc,Real Estate,REIT - Mortgage,5.3,8.62,1318.13,34.52,0.0,0.98,3.72,-2.41,12.78,1.25,-14.000000000000002,2.33,899570.0,3.61,8.91,Jul 29/a,9.75,800830000.0
ADC,Agree Realty Corp,Real Estate,REIT - Retail,36.66,34.61,2.22,16.85,3.73,1.2,5.1,-7.1,-13.5,0.42,-17.09,1.81,1330000.0,2.38,68.05,Jul 30/a,84.16,8460000000.000001
ADEA,Adeia Inc,Technology,Software - Application,22.94,15.51,1.81,12.11,-3.16,5.3,7.11,-21.97,5.84,2.19,-27.72,1.25,1250000.0,1.51,24.82,Aug 03/a,43.0,2740000000.0
ADIG,ADI Global Distribution Inc,Technology,Computer Hardware,,,,,0.0,51.38,4.83,,,,-33.2,2.0,1060000.0,1.15,20.7,Aug 13/b,28.5,1570000000.0
ADMA,Adma Biologics Inc,Healthcare,Biotechnology,12.93,9.66,19.33,1.9799999999999998,0.34,-3.7699999999999996,11.12,9.63,-39.35,0.71,-55.47,1.33,2660000.0,4.29,9.11,Aug 05/a,18.67,2040000000.0
ADNT,Adient plc,Consumer Cyclical,Auto Parts,29.57,5.91,-26.6,5.03,-1.81,-2.27,8.45,-14.800000000000002,-10.62,1.6,-35.29,1.69,967870.0,3.38,17.68,Aug 05/b,26.1,1360000000.0
ADPT,Adaptive Biotechnologies Corp,Healthcare,Diagnostics & Research,,,-47.8,21.53,-38.71,2.49,7.56,63.21,111.92999999999999,2.09,-0.38,1.25,2580000.0,1.16,28.61,Jul 29/a,25.07,4570000000.0
ADT,ADT Inc,Industrials,Security & Protection Services,9.55,7.0,8.88,1.96,0.1,-8.43,3.89,4.86,4.7,1.04,-22.3,2.71,7740000.0,2.39,6.9,Jul 30/b,8.23,5040000000.0
ADTN,ADTRAN Holdings Inc,Technology,Communication Equipment,,12.36,46.59,6.07,-2.2,5.39,17.28,-52.57000000000001,-39.5,1.48,-63.96000000000001,1.44,2040000.0,1.81,7.2,Aug 04/b,14.7,586670000.0
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,,,143.11,33.69,-31.290000000000003,3.0,13.95,-18.92,147.59,3.5,-36.57,1.0,2740000.0,0.74,93.49,Jul 14/a,130.29,3050000000.0
AEMD,Aethlon Medical Inc,Healthcare,Medical Devices,,,90.52,,0.0,2.32,29.22,-33.23,-42.9,1.16,-84.74,3.0,2530000.0,0.99,6.31,Aug 13/a,13.25,10120000.0
AEO,American Eagle Outfitters Inc,Consumer Cyclical,Apparel Retail,7.71,7.84,74.24,7.53,-0.15,-0.37,11.6,-15.439999999999998,-13.94,1.28,-47.08,2.93,5430000.0,1.28,15.06,Sep 09/a,18.36,2520000000.0
AESI,Atlas Energy Solutions Inc,Energy,Oil & Gas Equipment & Services,,,-347.44,1.56,0.0,23.63,30.58,-16.36,-0.95,1.12,-32.69,2.62,3210000.0,0.71,13.55,Aug 03/a,17.42,1690000000.0
AEVA,Aeva Technologies Inc,Technology,Software - Infrastructure,,,64.76,11.34,-6.7,3.55,12.15,-39.32,-2.7,2.4,-52.72,2.0,1800000.0,1.57,14.8,Aug 05/a,30.0,1030000000.0
AGCO,AGCO Corp,Industrials,Farm & Heavy Construction Machinery,16.58,16.36,-74.3,-0.96,-7.64,2.77,6.18,5.39,7.99,1.07,-16.69,2.53,959760.0,1.91,119.79,Jul 30/b,123.14,8390000000.000001
AGEN,Agenus Inc,Healthcare,Biotechnology,2.96,,98.53,34.36,0.0,17.95,16.76,161.67,106.04,1.37,-11.3,1.0,4240000.0,0.49,7.85,Aug 06/b,26.33,354520000.0
AGIO,Agios Pharmaceuticals Inc,Healthcare,Biotechnology,,,12.45,259.25,-4.54,3.66,12.94,-3.19,18.45,0.63,-28.110000000000003,1.6,1100000.0,1.42,33.07,Jul 30/b,45.75,1970000000.0
AGNT,AGNT Inc,Real Estate,Real Estate Services,,66.88,-10.2,10.75,-11.5,4.78,13.74,-19.19,-38.87,2.05,-69.0,2.33,1490000.0,2.7,3.79,Aug 04/a,5.38,633380000.0
AHCO,AdaptHealth Corp,Healthcare,Medical Devices,,,-1103.98,-7.5,0.9899999999999999,0.13,12.04,-40.83,-43.35,1.41,-57.48,1.14,2750000.0,1.81,5.71,Aug 04/b,9.0,778530000.0
AHRT,AH Realty Trust Inc,Real Estate,REIT - Diversified,,,-745.55,-48.1,0.16,-0.2,4.17,-6.75,3.32,1.11,-18.59,2.25,694010.0,2.46,6.22,Aug 03/a,7.5,596560000.0
AI,C3.ai Inc,Technology,Software - Infrastructure,,,30.579999999999995,-25.46,-15.36,9.04,32.73,1.7500000000000002,20.88,2.1,-48.17,3.79,5240000.0,1.86,10.48,Sep 02/a,8.3,1680000000.0
AIAI,AIAI Holdings Corp,Industrials,Conglomerates,,,,,-0.86,80.29,2.72,-78.71,,,-81.91,,553370.0,2.69,3.54,-,,277050000.0
AIB,AIB Data Centers Inc,Technology,Software - Infrastructure,,,98.74,2317.48,0.0,180.99,0.98,-34.82,-40.41,4.92,-76.75,1.0,1130000.0,1.88,1.46,Aug 14/b,5.88,110930000.0
AIOT,PowerFleet Inc,Technology,Software - Application,,16.36,18.1,6.41,0.0,-2.3,12.1,-27.639999999999997,-1.71,1.39,-51.019999999999996,1.29,1710000.0,1.37,2.88,Aug 10/b,8.4,386570000.0
AIP,Arteris Inc,Technology,Semiconductors,,180.82,-36.28,46.25,-20.22,11.65,6.18,-49.44,39.72,1.91,-55.63,1.0,786040.0,2.18,22.3,Aug 06/a,41.0,1100000000.0
AIRJ,AirJoule Technologies Corp,Industrials,Building Products & Equipment,,,-392.82,,-0.02,3.6000000000000005,17.81,-10.72,35.74,0.88,-35.85,1.33,1480000.0,0.89,4.33,Aug 13/a,9.55,317590000.0
AIRS,Airsculpt Technologies Inc,Healthcare,Medical Care Facilities,,,-58.59000000000001,-2.53,0.62,-2.6,28.72,-53.239999999999995,-15.07,2.28,-80.75,2.33,740450.0,1.43,2.31,Aug 10/b,4.5,166540000.0
AIV,Apartment Investment & Management Co,Real Estate,REIT - Residential,,,1182.77,-36.06,0.0,-0.03,1.67,-24.83,-25.1,1.19,-30.829999999999995,1.0,1240000.0,0.83,2.18,Mar 02/a,6.7,316620000.0
AIXC,AIxCrypto Holdings Inc,Technology,Software - Infrastructure,,,79.4,,0.0,2.69,5.36,-25.34,-12.1,0.49,-87.63,,1340000.0,0.41,1.09,May 11/a,250.0,23010000.0
AKR,Acadia Realty Trust,Real Estate,REIT - Retail,57.01,60.1,312.1,-5.14,-3.27,4.41,8.76,-8.76,-4.84,1.13,-16.28,1.29,1530000.0,1.39,19.28,Jul 28/a,24.71,2690000000.0
ALDX,Aldeyra Therapeutics Inc,Healthcare,Biotechnology,,,44.44,,16.74,-3.8900000000000006,5.37,-30.61,-25.679999999999996,1.19,-77.07,1.4,1230000.0,0.3,1.36,Jul 31,6.6,82040000.0
ALEC,Alector Inc,Healthcare,Biotechnology,,,32.03,-57.84,-0.78,2.74,7.49,9.14,-7.28,0.62,-43.82,2.86,1190000.0,1.78,1.91,Aug 06/a,3.1,213260000.0
ALGM,Allegro Microsystems Inc,Technology,Semiconductors,454.06,22.73,217.85000000000002,27.449999999999996,-0.12,4.9,10.25,-42.2,10.32,2.0,-52.49,1.21,2710000.0,1.17,34.1,Jul 30/b,54.83,6360000000.0
ALGT,Allegiant Travel,Industrials,Airlines,55.56,7.11,94.13,36.86,0.0,45.53,8.32,-22.43,-1.35,1.53,-36.78,1.5,557420.0,1.46,78.16,Aug 04/a,127.5,2140000000.0000002
ALH,Alliance Laundry Holdings Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",24.29,14.52,286.93,22.38,-17.18,0.01,4.97,-19.75,10.78,,-23.56,1.38,1110000.0,1.18,21.58,Aug 13/b,32.25,4290000000.0
ALHC,Alignment Healthcare Inc,Healthcare,Healthcare Plans,44.72,20.32,127.27,31.55,-23.49,11.08,11.56,-61.8,-54.02,1.14,-66.76,1.43,6080000.0,3.88,8.35,Jul 30/a,22.23,1730000000.0
ALIT,Alight Inc,Technology,Software - Application,,2.44,99.06,-3.2199999999999998,0.0,-17.05,3.99,3.39,-11.9,1.66,-83.19,2.8,782580.0,0.93,11.77,Aug 04/a,20.33,317070000.0
ALK,Alaska Air Group Inc,Industrials,Airlines,,8.72,-148.08,9.75,2.59,-0.79,10.18,-17.7,6.88,1.33,-33.14,1.39,2780000.0,1.18,40.54,Jul 21/a,59.03,4520000000.0
ALKT,Alkami Technology Inc,Technology,Software - Application,,17.59,36.61,15.869999999999997,21.27,-7.61,10.53,30.31,12.990000000000002,0.57,-28.859999999999996,1.44,1620000.0,2.17,19.13,Jul 29/a,22.14,2049999999.9999998
ALLO,Allogene Therapeutics Inc,Healthcare,Biotechnology,,,44.26,,-0.04,53.839999999999996,24.72,-15.5,-23.87,0.55,-62.11,1.27,7180000.0,1.77,1.69,Aug 12/a,8.75,583880000.0
