rank,ticker,company,sector,industry,latest_price,market_cap,momentum_20d,momentum_5d,volume_ratio,vol_5_50,rs_vs_iwm,bb_width,low_vol,near_high,pct_vs_sma20,pct_vs_sma50,atr_pct,sales_qq,eps_qq,fwd_pe,recom,target_upside,beta,earnings,short_float,review_flag,data_confidence,composite_score,composite_legacy,composite_dedup,rank_low_vol,rank_near_high,rank_vol_5_50,market_cap_display
1,CON,Concentra Group Holdings Parent Inc,Healthcare,Medical Care Facilities,35.47,4520000000.0,1.34,-0.95,5.19,1.926,6.63,0.0827,-1.2909,-3.38,2.02,6.16,2.504,10.03,45.65,19.27,1.0,15.6,0.6,Aug 06/a,2.43,,HIGH,0.9238,0.8989,0.9164,0.9060150375939849,0.9743107769423559,0.931077694235589,$4.5B
2,NWBI,Northwest Bancshares Inc,Financial,Banks - Regional,15.46,2260000000.0,0.26,-0.58,3.69,1.666,5.55,0.0302,-0.7286,-4.33,0.28,-0.23,1.696,18.31,38.52,10.67,2.75,7.2,0.69,Jul 27/a,5.59,,HIGH,0.906,0.9004,0.87,0.9924812030075187,0.9586466165413534,0.8583959899749374,$2.3B
3,CFFN,Capitol Federal Financial,Financial,Banks - Regional,8.9,1120000000.0,4.34,-0.11,3.55,1.537,9.63,0.0607,-0.7189,-3.89,1.92,1.92,1.806,6.5,34.51,11.48,2.33,6.7,0.67,Jul 29/b,5.67,,HIGH,0.9002,0.9127,0.87,0.9949874686716792,0.9624060150375939,0.8070175438596491,$1.1B
4,NHP,National Healthcare Properties Inc,Real Estate,REIT - Healthcare Facilities,16.0,310630000.0,-5.66,-0.87,6.3,1.872,-0.37,0.0736,-1.3304,-8.36,-1.46,-0.55,2.857,2.58,66.35,492.31,2.0,18.4,,Aug 05/a,7.98,,HIGH,0.8858,0.8063,0.8766,0.8959899749373433,0.8796992481203008,0.9160401002506265,$311M
5,CVBF,CVB Financial Corp,Financial,Banks - Regional,22.7,4000000000.0,0.58,-0.22,2.6,1.723,5.87,0.0467,-0.9154,-3.03,1.15,0.39,1.803,37.86,-21.58,11.45,1.83,15.3,0.66,Jul 22/a,5.15,,HIGH,0.8816,0.8486,0.8332,0.9636591478696742,0.9805764411027569,0.8759398496240601,$4.0B
6,FCF,First Commonwealth Financial Corp,Financial,Banks - Regional,21.1,2130000000.0,0.05,-1.31,3.01,1.501,5.34,0.0473,-0.8624,-5.55,0.25,-0.28,1.699,0.6,36.59,10.73,1.83,14.1,0.74,Jul 28/a,3.29,,HIGH,0.8719,0.8664,0.8272,0.974937343358396,0.9486215538847118,0.7850877192982456,$2.1B
7,OPCH,Option Care Health Inc,Healthcare,Medical Care Facilities,24.3,3640000000.0,2.53,1.29,2.77,1.518,7.82,0.0571,-1.5508,-2.64,1.71,4.57,2.769,1.86,14.13,11.66,1.79,17.6,0.57,Jul 29/b,8.61,,HIGH,0.8687,0.8717,0.8153,0.8489974937343359,0.9849624060150376,0.7944862155388471,$3.6B
8,LFST,LifeStance Health Group Inc,Healthcare,Medical Care Facilities,12.57,4800000000.0,0.8,-6.05,3.31,1.895,6.09,0.1041,-1.7068,-7.3,-0.59,6.14,3.814,26.08,722.45,57.29,1.45,13.0,1.23,Aug 06/b,5.6,,HIGH,0.8657,0.8401,0.8664,0.8082706766917294,0.9110275689223057,0.9260651629072681,$4.8B
9,VIA,Via Transportation Inc,Technology,Software - Application,27.98,2280000000.0,3.67,4.52,6.2,2.015,8.96,0.1219,-2.5227,-3.88,2.65,18.3,4.571,26.669999999999998,9.93,65.1,1.1,21.5,1.29,Aug 06/b,17.72,,HIGH,0.8629,0.8717,0.8678,0.5714285714285714,0.9642857142857143,0.9398496240601504,$2.3B
10,EXPO,Exponent Inc,Industrials,Engineering & Construction,68.3,3250000000.0,-2.72,-1.29,2.87,1.556,2.57,0.0842,-1.2558,-5.03,-1.36,2.24,2.674,20.89,16.39,25.96,1.6,23.0,0.69,Jul 30/a,6.3,,HIGH,0.8616,0.7905,0.8297,0.9110275689223057,0.9536340852130326,0.8107769423558897,$3.2B
11,FBP,First Bancorp PR,Financial,Banks - Regional,27.58,4210000000.0,-3.3,-2.02,3.66,1.527,1.99,0.0449,-1.0192,-7.7,-1.5,-2.58,1.896,4.7,25.64,10.82,1.57,15.0,0.83,Jul 22/b,4.44,,HIGH,0.8611,0.8357,0.8224,0.949874686716792,0.8984962406015038,0.8020050125313283,$4.2B
12,HOPE,Hope Bancorp Inc,Financial,Banks - Regional,13.96,1780000000.0,-0.07,-0.64,2.99,1.317,5.22,0.0311,-0.8873,-4.32,0.15,0.15,1.965,17.81,218.18,9.28,2.0,11.0,0.85,Jul 27/b,5.17,,HIGH,0.8563,0.8677,0.7954,0.9711779448621554,0.9598997493734336,0.649749373433584,$1.8B
13,HRMY,Harmony Biosciences Holdings Inc,Healthcare,Biotechnology,42.02,2450000000.0,10.14,1.16,3.72,1.813,15.43,0.1457,-1.7524,-3.38,2.62,9.25,2.971,30.320000000000004,88.57,9.82,1.82,12.7,1.0,Aug 04/b,10.29,,HIGH,0.8529,0.8437,0.8791,0.7957393483709273,0.9743107769423559,0.8991228070175439,$2.5B
14,WKC,World Kinect Corp,Energy,Oil & Gas Refining & Marketing,35.95,1840000000.0,0.0,2.68,3.77,1.493,5.29,0.0338,-0.8469,-12.74,1.24,-1.74,2.649,50.47999999999999,115.48,14.04,3.67,4.8,1.22,Jul 23/a,16.84,,HIGH,0.846,0.8961,0.8336,0.9799498746867168,0.7481203007518797,0.7794486215538847,$1.8B
15,LTC,LTC Properties Inc,Real Estate,REIT - Healthcare Facilities,42.56,2290000000.0,5.69,-0.19,2.45,1.429,10.98,0.1037,-1.2378,-2.39,2.04,4.03,2.219,63.83,74.05,23.03,2.11,6.3,0.54,Aug 05/a,4.8,,HIGH,0.8339,0.8221,0.7981,0.9160401002506265,0.9887218045112782,0.7374686716791979,$2.3B
16,MRP,Millrose Properties Inc,Real Estate,REIT - Residential,28.87,4450000000.0,-5.0,-2.0,4.3,1.842,0.29,0.1169,-1.4713,-10.26,-4.61,-2.27,2.528,32.11,11.59,8.86,1.0,28.7,0.38,Aug 04/b,4.74,,HIGH,0.826,0.7546,0.8412,0.8696741854636592,0.8208020050125313,0.9110275689223057,$4.5B
17,GRAL,GRAIL Inc,Healthcare,Diagnostics & Research,80.77,3610000000.0,1.55,6.94,3.53,2.382,6.84,0.112,-2.9827,-5.52,2.3,9.21,4.684,25.72,19.7,,2.18,-3.8,3.27,Aug 05/a,20.29,,HIGH,0.8227,0.842,0.8003,0.4273182957393484,0.949874686716792,0.9724310776942355,$3.6B
18,BXDC,Blackstone Digital Infrastructure Trust Inc,Real Estate,REIT - Specialty,19.33,1950000000.0,-5.89,-0.97,8.4,3.971,-0.6,0.1018,-1.622,-13.43,-3.92,-4.68,2.864,,,,2.17,22.0,,Aug 04/b,2.42,,HIGH,0.8203,0.7736,0.8393,0.8283208020050126,0.7286967418546366,0.9949874686716792,$1.9B
19,CURB,Curbline Properties Corp,Real Estate,REIT - Retail,28.33,3260000000.0,-3.61,-2.58,3.91,1.501,1.68,0.0639,-0.8276,-11.88,-3.76,-5.78,2.218,52.98,-35.79,80.43,1.6,19.4,0.59,Jul 28/b,13.0,,HIGH,0.8187,0.8281,0.7968,0.9824561403508771,0.7725563909774437,0.7850877192982456,$3.3B
20,CGEM,Cullinan Therapeutics Inc,Healthcare,Biotechnology,21.08,1360000000.0,-2.77,3.33,3.57,1.962,2.52,0.1412,-2.1247,-9.1,-2.55,7.34,4.679,,27.0,,1.0,62.5,-0.07,Aug 06/b,21.39,,HIGH,0.8157,0.7408,0.8476,0.6791979949874687,0.8558897243107769,0.9348370927318296,$1.4B
