rank,ticker,company,sector,industry,latest_price,market_cap,momentum_20d,momentum_5d,volume_ratio,vol_5_50,rs_vs_iwm,bb_width,low_vol,near_high,pct_vs_sma20,pct_vs_sma50,atr_pct,sales_qq,eps_qq,fwd_pe,recom,target_upside,beta,earnings,short_float,review_flag,data_confidence,composite_score,composite_legacy,composite_dedup,rank_low_vol,rank_near_high,rank_vol_5_50
51,CLBK,Columbia Financial Inc,Financial,Banks - Regional,11.58,3120000000.0,-1.78,1.58,4.23,1.102,3.51,0.0372,-0.856,-3.5,-0.18,3.48,1.928,5.15,17.88,33.09,1.0,22.4,0.26,Jul 30/a,7.25,,HIGH,0.8511,0.8736,0.7879,0.9761904761904762,0.9699248120300752,0.4197994987468672
52,FULT,Fulton Financial Corp,Financial,Banks - Regional,23.4,4470000000.0,-1.02,-1.47,3.16,1.419,4.27,0.0337,-0.911,-7.25,-0.94,-2.89,1.838,7.580000000000001,-1.58,10.16,2.5,9.8,0.79,Jul 22/a,4.93,,HIGH,0.8454,0.8635,0.791,0.9661654135338346,0.9135338345864662,0.7293233082706767
53,GNW,Genworth Financial Inc,Financial,Insurance - Life,10.05,3800000000.0,1.72,-5.19,2.39,2.112,7.01,0.0976,-1.5824,-5.99,-1.03,0.55,2.829,2.29,-0.4099999999999999,8.89,1.0,14.4,0.87,Aug 05/a,2.57,,HIGH,0.8367,0.8023,0.8084,0.8383458646616542,0.9367167919799498,0.9511278195488722
54,SFBS,ServisFirst Bancshares Inc,Financial,Banks - Regional,41.45,4530000000.0,-4.36,-2.01,3.51,1.811,0.93,0.0746,-1.3687,-9.97,-2.49,-4.81,2.475,6.34,39.58,11.47,1.0,16.6,0.9,Jul 20/a,5.09,,HIGH,0.8274,0.7988,0.8015,0.8897243107769424,0.8308270676691729,0.8972431077694235
55,EBC,Eastern Bankshares Inc,Financial,Banks - Regional,21.6,4940000000.0,-5.01,-1.1,4.02,1.453,0.28,0.0699,-1.0675,-9.15,-1.77,-4.47,2.336,26.36,-4.73,10.14,1.5,16.3,0.7,Jul 23/a,7.43,,HIGH,0.8266,0.8004,0.7923,0.9360902255639098,0.8521303258145363,0.7556390977443609
56,BBT,Beacon Financial Corp,Financial,Banks - Regional,30.83,2580000000.0,-2.59,-1.69,2.21,1.478,2.7,0.043,-1.0979,-5.78,-1.53,-1.12,2.21,83.94,16.29,9.28,2.14,13.0,0.58,Jul 29/a,4.85,,HIGH,0.8231,0.7642,0.7539,0.931077694235589,0.9429824561403509,0.7719298245614035
57,NMIH,NMI Holdings Inc,Financial,Insurance - Specialty,42.9,3230000000.0,-5.0,-2.77,2.5,1.477,0.29,0.0722,-0.7878,-8.22,-3.32,-2.4,2.268,8.12,13.750000000000002,7.87,1.57,14.6,0.55,Jul 30/a,2.47,,HIGH,0.8226,0.7364,0.7801,0.9899749373433584,0.8834586466165414,0.7706766917293233
58,TCPC,BlackRock TCP Capital Corp,Financial,Asset Management,4.0,335610000.0,-0.74,-1.23,2.08,1.466,4.55,0.0706,-1.6179,-5.88,-1.49,6.55,2.696,270.36,111.11999999999999,9.82,3.5,8.3,1.05,Aug 06/b,5.4,,HIGH,0.8192,0.7662,0.7596,0.8308270676691729,0.9398496240601504,0.7650375939849624
59,BFH,Bread Financial Holdings Inc,Financial,Credit Services,108.53,4170000000.0,2.47,-0.64,2.71,1.386,7.76,0.071,-1.8702,-5.24,1.29,1.96,3.33,3.66,20.14,7.98,2.06,8.4,1.13,Jul 23/b,8.3,REVIEW,HIGH,0.8192,0.8578,0.757,0.7644110275689223,0.9511278195488722,0.7080200501253133
60,WSBC,Wesbanco Inc,Financial,Banks - Regional,39.37,3780000000.0,-3.65,-2.5,2.74,1.494,1.64,0.057,-1.1264,-8.48,-2.29,-3.68,2.155,1.24,59.650000000000006,10.18,2.0,13.0,0.7,Jul 21/a,7.43,,HIGH,0.817,0.7875,0.7654,0.9273182957393483,0.8734335839598998,0.7807017543859649
61,MD,Pediatrix Medical Group Inc,Healthcare,Medical Care Facilities,25.93,2109999999.9999998,-2.41,-3.64,2.74,1.288,2.88,0.0615,-1.1838,-7.19,-2.64,-1.58,3.408,4.04,6.619999999999999,10.62,2.71,1.5,0.61,Aug 04/b,6.02,,HIGH,0.8093,0.8043,0.7462,0.9210526315789473,0.9160401002506265,0.62531328320802
62,UMH,UMH Properties Inc,Real Estate,REIT - Residential,15.69,1340000000.0,-4.97,0.32,2.16,1.524,0.32,0.1036,-0.8069,-6.44,-2.2,-1.03,1.694,7.5,72.58,95.09,1.5,20.7,0.97,Aug 05/a,4.86,,HIGH,0.8045,0.6674,0.7685,0.9862155388471178,0.9298245614035088,0.7982456140350878
63,SLDE,Slide Insurance Holdings Inc,Financial,Insurance - Property & Casualty,24.95,2910000000.0,9.72,-4.88,3.02,1.986,15.01,0.1724,-2.2167,-6.73,2.54,11.78,3.26,47.86,90.44,6.74,1.5,4.2,-0.02,Jul 28/a,8.77,,HIGH,0.8006,0.7891,0.8383,0.649749373433584,0.9223057644110275,0.9360902255639098
64,ATRC,Atricure Inc,Healthcare,Medical Instruments & Supplies,58.1,2960000000.0,18.62,4.14,6.23,2.626,23.91,0.2717,-2.4297,-2.97,10.94,30.73,3.816,12.83,241.25,138.78,1.4,-8.2,1.24,Jul 23/a,8.48,,HIGH,0.7954,0.7635,0.8874,0.5889724310776943,0.9824561403508771,0.9774436090225563
65,FFBC,First Financial Bancorp,Financial,Banks - Regional,32.09,3370000000.0,-2.85,-1.99,3.21,1.272,2.44,0.0377,-0.9111,-11.48,-1.52,-4.37,1.774,12.98,-0.34,9.5,2.29,17.1,0.94,Jul 21/a,5.31,,HIGH,0.7944,0.8318,0.7483,0.9649122807017544,0.7894736842105263,0.6090225563909775
66,HTFL,Heartflow Inc,Healthcare,Health Information Services,50.75,4410000000.0,2.01,2.44,3.07,1.561,7.3,0.1112,-3.2973,-2.82,3.53,36.03,5.085,47.57,-65.19,,1.5,-11.8,2.73,Aug 13/a,9.38,,HIGH,0.794,0.8318,0.7477,0.3358395989974937,0.9837092731829574,0.8145363408521303
67,ADMA,Adma Biologics Inc,Healthcare,Biotechnology,9.11,2040000000.0,-7.42,-0.33,4.54,1.806,-2.13,0.1291,-1.9912,-11.98,-2.73,-0.93,3.164,1.9799999999999998,19.33,9.66,1.33,104.9,0.71,Aug 05/a,11.12,,HIGH,0.789,0.6959,0.8131,0.7155388471177945,0.7694235588972431,0.8947368421052632
68,FULC,Fulcrum Therapeutics Inc,Healthcare,Biotechnology,3.76,286880000.0,-1.83,-0.79,2.7,0.98,3.46,0.0378,-0.4959,-4.57,-1.75,0.13,1.689,,-24.16,,3.0,6.4,2.62,Aug 05,9.52,,HIGH,0.787,0.8202,0.6955,1.0,0.9573934837092731,0.2832080200501253
69,DX,Dynex Capital Inc,Real Estate,REIT - Mortgage,12.18,3020000000.0,-6.52,-1.85,2.7,1.476,-1.23,0.0937,-0.8079,-10.38,-4.08,-5.34,1.677,170.93,653.65,7.59,1.67,21.1,0.96,Jul 20/b,5.29,,HIGH,0.7863,0.6991,0.7578,0.9849624060150376,0.818922305764411,0.7694235588972431
70,PFS,Provident Financial Services Inc,Financial,Banks - Regional,23.06,3010000000.0,-2.74,-1.2,2.34,1.296,2.55,0.0353,-0.8043,-9.53,-1.37,-3.63,1.849,4.33,8.65,8.87,1.67,19.6,0.82,Jul 29/a,4.41,,HIGH,0.7851,0.7796,0.7206,0.9874686716791979,0.8395989974937343,0.6328320802005013
71,ZBIO,Zenas Biopharma Inc,Healthcare,Biotechnology,31.5,2049999999.9999998,-2.45,-1.28,3.76,1.382,2.84,0.0909,-2.6442,-7.49,-2.33,0.18,4.758,,-41.57,,1.25,49.2,-0.96,Aug 13/b,35.34,,HIGH,0.78,0.8226,0.724,0.5401002506265664,0.9047619047619048,0.7055137844611529
72,INVA,Innoviva Inc,Healthcare,Biotechnology,21.14,1530000000.0,0.33,1.15,1.89,1.432,5.62,0.0419,-1.0034,-11.81,0.38,-0.25,2.115,18.61,-247.03999999999996,9.17,2.0,65.6,0.38,Aug 05/a,9.73,,HIGH,0.7777,0.7726,0.727,0.9511278195488722,0.7769423558897243,0.7418546365914787
73,FFIN,First Financial Bankshares Inc,Financial,Banks - Regional,32.81,4700000000.0,-3.87,-1.35,2.19,1.445,1.42,0.0482,-1.0267,-10.16,-1.42,-4.24,1.89,8.43,7.61,15.21,2.71,11.5,0.83,Jul 16/a,6.15,,HIGH,0.7767,0.7364,0.7162,0.9473684210526315,0.8233082706766918,0.7512531328320802
74,EGY,VAALCO Energy Inc,Energy,Oil & Gas E&P,6.06,637460000.0,2.02,-3.35,2.77,1.667,7.31,0.148,-2.2167,-8.04,0.29,6.25,3.476,39.5,395.23,16.91,1.0,58.3,0.21,Aug 06/a,8.04,,HIGH,0.7766,0.7631,0.789,0.649749373433584,0.8878446115288221,0.8596491228070176
75,GCMG,GCM Grosvenor Inc,Financial,Asset Management,13.14,2660000000.0,-4.3,3.96,3.51,1.316,0.99,0.1172,-1.4906,-11.61,-0.64,-0.54,2.759,12.950000000000001,136.14,12.17,1.4,18.0,0.89,Aug 10/b,2.72,,HIGH,0.7763,0.7521,0.7763,0.8659147869674185,0.7844611528822055,0.6478696741854637
76,IRWD,Ironwood Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,4.36,720450000.0,1.63,4.56,4.09,1.487,6.92,0.1105,-2.9026,-10.66,3.53,5.48,4.063,32.62,123.29,3.31,2.0,39.9,0.21,Aug 06/b,11.1,,HIGH,0.7736,0.8599,0.7581,0.4649122807017544,0.8132832080200502,0.7781954887218046
77,PRAA,PRA Group Inc,Financial,Credit Services,21.0,790610000.0,7.25,8.3,2.21,1.422,12.54,0.135,-2.1722,-2.28,8.39,12.15,3.684,12.94,40.54,5.79,2.33,23.8,1.13,Aug 06/a,2.64,REVIEW,HIGH,0.772,0.7618,0.7404,0.6679197994987469,0.9924812030075187,0.731829573934837
78,HAE,Haemonetics Corp,Healthcare,Medical Devices,108.4,4930000000.0,-0.37,1.97,2.06,1.03,4.92,0.0953,-1.2667,-1.86,3.27,16.43,2.599,5.6,2.63,18.76,1.67,2.9,0.6,Aug 06/b,6.41,,HIGH,0.772,0.7469,0.6944,0.9097744360902256,0.993734335839599,0.33959899749373434
79,RDN,Radian Group Inc,Financial,Insurance - Specialty,35.01,4630000000.0,-4.32,-2.34,2.64,1.531,0.97,0.0697,-0.966,-14.71,-3.02,-5.93,2.014,80.8,-17.01,6.78,1.43,25.1,0.7,Aug 05/a,4.06,,HIGH,0.7712,0.763,0.7509,0.956140350877193,0.6835839598997494,0.8032581453634086
80,MCHB,Mechanics Bancorp,Financial,Banks - Regional,15.4,3560000000.0,-4.94,-0.52,3.02,1.187,0.35,0.0754,-0.8198,-11.39,-1.94,-4.74,1.911,167.34,211.23,12.94,2.25,14.4,1.43,Jul 29/b,13.65,,HIGH,0.7656,0.7689,0.7198,0.9837092731829574,0.7907268170426065,0.5288220551378446
