date,regime,eligible,survivors,fwd5_coverage,fwd10_coverage,fwd20_coverage,fwd40_coverage,fwd60_coverage,squeeze_vs_lowvol_rho
2026-04-17,RISK-ON,909,753,1.0,1.0,1.0,1.0,1.0,0.7750944132494235
2026-04-24,RISK-ON,902,822,1.0,1.0,1.0,1.0,0.998,0.7239320244016728
2026-05-01,RISK-ON,897,798,1.0,1.0,1.0,1.0,0.999,0.7738725609349401
2026-05-08,RISK-ON,891,760,1.0,1.0,1.0,1.0,0.997,0.8274022471062377
2026-05-15,RISK-ON,914,827,1.0,1.0,1.0,1.0,0.998,0.7890959607577012
2026-05-22,RISK-ON,946,840,1.0,1.0,1.0,0.998,0.998,0.8011525364568665
2026-05-29,RISK-ON,942,807,1.0,1.0,1.0,0.998,0.999,0.810882412682668
2026-06-05,RISK-ON,925,867,1.0,1.0,1.0,0.998,0.999,0.8152522468001916
2026-06-12,RISK-ON,928,867,1.0,1.0,1.0,0.998,0.997,0.838244049498708
2026-06-18,RISK-ON,953,862,1.0,1.0,0.998,0.998,0.998,0.8486275536423428
2026-06-26,RISK-ON,960,861,1.0,1.0,0.998,0.999,0.0,0.8002106234457755
2026-07-02,RISK-ON,952,852,1.0,1.0,0.998,0.999,0.0,0.7756859339042176
2026-07-10,RISK-ON,936,898,1.0,0.999,0.999,0.999,0.0,0.7643993413330527
2026-07-17,RISK-ON,953,925,0.999,0.999,0.999,0.998,0.0,0.7858847357438907
2026-07-24,RISK-ON,734,723,1.0,1.0,1.0,0.0,0.0,0.7722029148803286
2026-07-31,RISK-OFF,735,715,1.0,1.0,1.0,0.0,0.0,0.7680895181059493
2026-08-07,RISK-ON,731,636,1.0,1.0,1.0,0.0,0.0,0.8215874581093079
2026-08-14,RISK-ON,1144,1043,1.0,1.0,1.0,0.0,0.0,0.8039531889088645
2026-08-21,RISK-ON,1169,1069,1.0,1.0,0.0,0.0,0.0,0.8190043758958052
2026-08-28,RISK-OFF,1165,1113,1.0,0.999,0.0,0.0,0.0,0.8286240954537807
2026-09-04,RISK-OFF,1179,1121,0.999,0.0,0.0,0.0,0.0,0.8090735823970332
