signal,horizon,corr_ic_vs_median,ic_when_median_falling,dates_falling,ic_when_median_rising,dates_rising
composite,5,-0.4991748548465955,0.08876941490842231,11,0.014546784781762554,10
composite,10,-0.5904680648992445,0.10789814702323801,13,0.00456491057346325,7
composite,20,-0.584901779536151,0.1327687400094639,11,0.02265431647937934,7
low_vol,5,-0.6301798623184396,0.15850497696691826,11,0.03525828993092071,10
low_vol,10,-0.6475780857100076,0.17207588988722786,13,0.003814824545707997,7
low_vol,20,-0.4728709848158599,0.19082802103539276,11,0.05348451798485569,7
mom20,5,-0.2684207265916657,0.019261866641482276,11,0.0028248503705384904,10
mom20,10,-0.5918622409383492,0.0562919236101026,13,-0.015064467636206542,7
mom20,20,-0.5229862438296807,0.0621091369705822,11,0.008339247606513568,7
mom5,5,0.11142340547977327,-0.0006852209666042698,11,0.021202559029685812,10
mom5,10,-0.4061448796912007,0.043690686032896525,13,-0.031243040282345997,7
mom5,20,-0.2234380378984503,0.04590400517821374,11,0.0027876992415442137,7
mom60_riskadj,5,-0.4392812034550132,0.05861347567683297,11,-0.026959546823519937,10
mom60_riskadj,10,-0.3535248524518026,0.024164743759454696,13,-0.017557639961366216,7
mom60_riskadj,20,-0.3163894640189764,-0.004274508654993295,11,-0.03707875870236395,7
mom60_skip5,5,-0.43228310796651614,0.056144373423843624,11,-0.025743298423069494,10
mom60_skip5,10,-0.3321293127651137,0.02807524702816244,13,-0.021606906331483915,7
mom60_skip5,20,-0.23362176554008898,-0.0042538143782984116,11,-0.037178592391714095,7
near_high,5,-0.6123862591799807,0.13223707461841916,11,0.028316793097145077,10
near_high,10,-0.8476412456033975,0.16414642198152454,13,-0.026326351404417574,7
near_high,20,-0.8132003002918337,0.1710874789719787,11,0.015051535869137548,7
rule5,5,-0.5834966043201051,0.14268722044545598,11,0.02615206926844038,10
rule5,10,-0.7391173229188214,0.16371657153146021,13,-0.0039330684924745295,7
rule5,20,-0.7246800018681049,0.1849319079578347,11,0.03397842727862648,7
rule5_mom20,5,-0.5523983114719916,0.12828589863438056,11,0.024269067884597623,10
rule5_mom20,10,-0.7365280537856963,0.15510393993874244,13,-0.004407830910598772,7
rule5_mom20,20,-0.7311713048206804,0.17588969947464198,11,0.03161580175905012,7
squeeze,5,-0.6556487057362061,0.12950895384684374,11,0.017960188914242566,10
squeeze,10,-0.6456461928049124,0.1377565944030511,13,-0.011348220338029005,7
squeeze,20,-0.491415578576328,0.15855297451170022,11,0.020795862567381952,7
squeeze_own,5,-0.13582799918239,-0.0006141935046315044,11,0.0015821932025149425,10
squeeze_own,10,0.2298697207582741,-0.013767804951275445,13,0.0044702671361240886,7
squeeze_own,20,0.16979472775929388,-0.0018023094006685775,11,-0.006013860322957305,7
vol_5_50,5,-0.0717880489858648,0.02447906609679171,11,0.0275118853973031,10
vol_5_50,10,-0.3634716835844489,0.053005037065271994,13,0.03839898619102284,7
vol_5_50,20,-0.6631293079404281,0.08682167506282706,11,0.037979364822802605,7
vol_ratio,5,-0.2064082930114327,0.04381098233908373,11,0.03275601536520658,10
vol_ratio,10,-0.013564554057772063,0.0479524982667,13,0.0580959596954254,7
vol_ratio,20,-0.36365401178639345,0.08234819916197687,11,0.034431327914776676,7
vs_sma20,5,-0.21387061178280414,0.029699320026538065,11,0.026982802307618625,10
vs_sma20,10,-0.6194679593679813,0.07071212635123006,13,-0.01017764880576449,7
vs_sma20,20,-0.4108665892255149,0.08031661096369262,11,0.023215451344501172,7
vs_sma50,5,-0.34530240131728757,0.06592392900122734,11,0.008909639256542378,10
vs_sma50,10,-0.7443510652023708,0.09116604672088592,13,-0.021955915094498613,7
vs_sma50,20,-0.7252861714293123,0.08155761692696696,11,0.0012461799782054086,7
