date,horizon,signal,top_n,mean_vs_mean,median_vs_median
2026-04-17,5,composite,15,0.04619756568502453,0.037039848445483026
2026-04-17,5,composite,50,0.0009164888024768073,-0.005764853660334857
2026-04-17,5,rule5,15,0.03884435591344038,0.00709774508699057
2026-04-17,5,rule5,50,0.010959836634351173,0.010937350620922603
2026-04-17,5,rule5_mom20,15,0.04666084182099261,0.014702210059377552
2026-04-17,5,rule5_mom20,50,0.015979759371128794,0.008513268813023167
2026-04-17,5,near_high,15,-0.0036228563669335415,0.00807028580332736
2026-04-17,5,near_high,50,0.011633156763366168,0.007453226836255267
2026-04-17,5,low_vol,15,0.00841163835140116,0.00825701266757961
2026-04-17,5,low_vol,50,0.00879700495669507,0.01052458556678787
2026-04-17,10,composite,15,0.04566608189311374,0.009531143972072997
2026-04-17,10,composite,50,0.005506156566991657,0.0007140649806889887
2026-04-17,10,rule5,15,0.0524402851741806,0.03421191718570016
2026-04-17,10,rule5,50,0.017849325925214772,0.024392062115077384
2026-04-17,10,rule5_mom20,15,0.057596462418651496,0.03656156826794443
2026-04-17,10,rule5_mom20,50,0.016766153139681092,0.02199635746975126
2026-04-17,10,near_high,15,-0.019336202000937348,-0.0030728362547952637
2026-04-17,10,near_high,50,0.00431041374772421,0.005136699415127566
2026-04-17,10,low_vol,15,0.009175535873815267,0.014199400272354779
2026-04-17,10,low_vol,50,0.010755875752313732,0.019399521687603505
2026-04-17,20,composite,15,0.08137889406945212,0.12439191978546571
2026-04-17,20,composite,50,0.013211316858533204,0.009729522042355776
2026-04-17,20,rule5,15,0.039194060744546046,0.03879338375765495
2026-04-17,20,rule5,50,0.014456327130333799,0.03747357196536649
2026-04-17,20,rule5_mom20,15,0.052194907278829306,0.07641198863091714
2026-04-17,20,rule5_mom20,50,0.01726955447777074,0.03747357196536649
2026-04-17,20,near_high,15,-0.011794395622251881,-0.024425842559297584
2026-04-17,20,near_high,50,-0.015738281380639617,0.01782467767252377
2026-04-17,20,low_vol,15,0.029914847397782753,0.045989021663362495
2026-04-17,20,low_vol,50,-0.002008102098069415,0.024168558318737876
2026-04-24,5,composite,15,-0.007218619478000128,0.0023474138614119067
2026-04-24,5,composite,50,0.008248020762214765,0.0009082990290897319
2026-04-24,5,rule5,15,0.012913536317427796,0.014488259255959868
2026-04-24,5,rule5,50,0.007571891070169513,0.009036949465760724
2026-04-24,5,rule5_mom20,15,0.012028368829759748,0.008166418915793505
2026-04-24,5,rule5_mom20,50,0.0063687856506377954,0.008478540332436002
2026-04-24,5,near_high,15,-0.0021102765211374695,0.00846953535856243
2026-04-24,5,near_high,50,0.014319280855668148,0.015021484230661408
2026-04-24,5,low_vol,15,-0.0036954052942316934,-0.0020680977592570926
2026-04-24,5,low_vol,50,0.0019237780708007222,0.0020546573673622115
2026-04-24,10,composite,15,-0.04566592974264972,-0.032877050201922775
2026-04-24,10,composite,50,0.0017448671766085444,-0.002855302568413931
2026-04-24,10,rule5,15,-0.004250995703060451,-0.006901378286483739
2026-04-24,10,rule5,50,-0.007185976312333078,-0.0016394030333209964
2026-04-24,10,rule5_mom20,15,0.013899269505894284,0.010095415350811932
2026-04-24,10,rule5_mom20,50,-0.019544249570974295,-0.0032576085980564606
2026-04-24,10,near_high,15,-0.05518524316744316,-0.02912030104193497
2026-04-24,10,near_high,50,-0.0002578202879840383,0.003133542411554835
2026-04-24,10,low_vol,15,-0.015267471935903186,-0.005175363059197524
2026-04-24,10,low_vol,50,-0.015161653328602847,-0.004764686190961487
2026-04-24,20,composite,15,-0.07002607716783063,-0.0618900464767822
2026-04-24,20,composite,50,0.0038012028725025876,-0.02263830033615577
2026-04-24,20,rule5,15,-0.009193861376228532,0.013747570292441003
2026-04-24,20,rule5,50,0.00417229942492916,0.029093236603836115
2026-04-24,20,rule5_mom20,15,0.005460413899389588,0.029462673093538005
2026-04-24,20,rule5_mom20,50,-0.01305601096831072,0.004324667376236047
2026-04-24,20,near_high,15,-0.05201204939564289,-0.04213428103966621
2026-04-24,20,near_high,50,-0.00822075923882534,0.029093236603836115
2026-04-24,20,low_vol,15,-0.021469179355014287,0.016241346387098954
2026-04-24,20,low_vol,50,-0.02310168255620737,0.005518857989941117
2026-05-01,5,composite,15,-0.004493615213662015,0.003210310126678939
2026-05-01,5,composite,50,0.001944279731956964,0.00020007700688340346
2026-05-01,5,rule5,15,-0.018285145856904612,-0.005495572276139726
2026-05-01,5,rule5,50,-0.013666960145136728,-0.0034474048474251173
2026-05-01,5,rule5_mom20,15,-0.00954212520695066,-0.0018723476753021995
2026-05-01,5,rule5_mom20,50,-0.003294804409417351,-0.0018723476753021995
2026-05-01,5,near_high,15,0.0005627575605563623,-0.0219584193230401
2026-05-01,5,near_high,50,0.00834485050530791,-0.018712820320760493
2026-05-01,5,low_vol,15,-0.015833266345706937,-0.006518116757910142
2026-05-01,5,low_vol,50,-0.01651309988181569,-0.006773839963900685
2026-05-01,10,composite,15,-0.009929278988879145,-0.0004878829599310186
2026-05-01,10,composite,50,0.018702411334874644,0.005606152133333486
2026-05-01,10,rule5,15,-0.014322462654782597,0.0045542230214480894
2026-05-01,10,rule5,50,-0.00023279571124001225,0.02246587604714806
2026-05-01,10,rule5_mom20,15,-0.00928956302181632,0.008716677908572057
2026-05-01,10,rule5_mom20,50,-0.009040477121445852,0.015643593694715907
2026-05-01,10,near_high,15,0.0549463417257057,0.04527718694513433
2026-05-01,10,near_high,50,0.012050425231980307,0.013111069590478197
2026-05-01,10,low_vol,15,-0.0004814903613253041,0.02845497470401731
2026-05-01,10,low_vol,50,-0.003343683689270731,0.008624049447927384
2026-05-01,20,composite,15,-0.05727942421436169,-0.015959295873921198
2026-05-01,20,composite,50,0.0005929501626505962,-0.002251574994137917
2026-05-01,20,rule5,15,-0.09249298460347057,-0.0405931894753363
2026-05-01,20,rule5,50,-0.07347971377280184,-0.01114905325404053
2026-05-01,20,rule5_mom20,15,-0.08180796005215715,-0.015959295873921198
2026-05-01,20,rule5_mom20,50,-0.06236634283912972,-0.010624513222979137
2026-05-01,20,near_high,15,-0.04881527284449834,-0.04225347021082859
2026-05-01,20,near_high,50,-0.06822407380854616,-0.03617067137600094
2026-05-01,20,low_vol,15,-0.09438576845464851,-0.015959295873921198
2026-05-01,20,low_vol,50,-0.09223080501178153,-0.0284102577238296
2026-05-08,5,composite,15,-0.026162674072706463,-0.03483448623449603
2026-05-08,5,composite,50,-0.0260772274833682,-0.004575176240010581
2026-05-08,5,rule5,15,0.003535539607909574,0.02676951239637293
2026-05-08,5,rule5,50,0.0030704406750481847,0.020990306089439303
2026-05-08,5,rule5_mom20,15,-0.0016186166788124887,0.02676951239637293
2026-05-08,5,rule5_mom20,50,-0.004813553255925952,0.016508301020712324
2026-05-08,5,near_high,15,0.017502517007181383,0.02648721002117449
2026-05-08,5,near_high,50,0.006547551773413374,0.023318365712047595
2026-05-08,5,low_vol,15,0.023312576017469746,0.03591692663931334
2026-05-08,5,low_vol,50,0.018416125715764134,0.026801047396791566
2026-05-08,10,composite,15,0.00588238327172756,0.0016707733806602953
2026-05-08,10,composite,50,-0.025433553726855903,-0.01212934659184306
2026-05-08,10,rule5,15,-0.00677679174825864,-0.003533682371751168
2026-05-08,10,rule5,50,-0.0036825143283681708,0.0009138071033694684
2026-05-08,10,rule5_mom20,15,0.005752601382712648,0.00015684082607864136
2026-05-08,10,rule5_mom20,50,-0.0021769307164618834,0.001440533068928329
2026-05-08,10,near_high,15,0.036603359297969956,0.04973081171088817
2026-05-08,10,near_high,50,0.030651264983715773,0.025081406033305664
2026-05-08,10,low_vol,15,0.005169705822576781,0.02544153448654024
2026-05-08,10,low_vol,50,0.006025890203794206,0.01809152434398098
2026-05-08,20,composite,15,0.01306341973964445,0.06115258619992908
2026-05-08,20,composite,50,0.00635075222299019,0.042296829356603505
2026-05-08,20,rule5,15,0.04390821240739115,0.03939804009602149
2026-05-08,20,rule5,50,0.026903347545800656,0.04454409480048249
2026-05-08,20,rule5_mom20,15,0.07014872288568862,0.10467136251924697
2026-05-08,20,rule5_mom20,50,0.033452522463016034,0.0581129697876408
2026-05-08,20,near_high,15,0.04700115107690385,0.07958677714219692
2026-05-08,20,near_high,50,0.041021618132320484,0.06077289234136091
2026-05-08,20,low_vol,15,0.02303417015335934,0.04602639608692932
2026-05-08,20,low_vol,50,0.025977630612924046,0.0400561480526217
2026-05-15,5,composite,15,-0.007207049881053015,0.017085510151224836
2026-05-15,5,composite,50,-0.004875648571185026,-0.00319472898129336
2026-05-15,5,rule5,15,0.005949945534482064,0.01001670895109874
2026-05-15,5,rule5,50,-0.012229259648016126,-0.004741303038610534
2026-05-15,5,rule5_mom20,15,-0.010219055865291274,0.01001670895109874
2026-05-15,5,rule5_mom20,50,-0.0036733773544230103,-0.004097073534850226
2026-05-15,5,near_high,15,-0.019967974677612785,-0.0035760162984435073
2026-05-15,5,near_high,50,-0.00888603281582439,-0.003512758804915861
2026-05-15,5,low_vol,15,-0.02071927325410182,-0.0035193501566010976
2026-05-15,5,low_vol,50,-0.015897887443993383,-0.0035476832275223025
2026-05-15,10,composite,15,-0.049845028087883145,-0.005911496095432289
2026-05-15,10,composite,50,-0.06186561270357565,-0.02058539792339409
2026-05-15,10,rule5,15,-0.0013046646656074135,0.004229816174256884
2026-05-15,10,rule5,50,-0.0676954551081197,-0.03692049236645856
2026-05-15,10,rule5_mom20,15,-0.1016314735895216,-0.005911496095432289
2026-05-15,10,rule5_mom20,50,-0.03778044644384298,-0.030192680607400435
2026-05-15,10,near_high,15,-0.12187653419133643,-0.029441127822874558
2026-05-15,10,near_high,50,-0.044165042771789946,-0.02391714855392868
2026-05-15,10,low_vol,15,-0.06567670057216259,-0.030944233391926312
2026-05-15,10,low_vol,50,-0.06446456806679576,-0.03279656684884935
2026-05-15,20,composite,15,-0.05695131069959255,-0.001971460671316594
2026-05-15,20,composite,50,-0.06502648599924517,-0.0019245503729655722
2026-05-15,20,rule5,15,-0.006313537733978837,0.0
2026-05-15,20,rule5,50,-0.06089958960832426,-0.0016613753436991452
2026-05-15,20,rule5_mom20,15,-0.10074169113777301,-0.022067055644634515
2026-05-15,20,rule5_mom20,50,-0.02849276120975585,0.000943069185475931
2026-05-15,20,near_high,15,-0.11656401253054949,0.007000621782408345
2026-05-15,20,near_high,50,-0.0256897084376976,0.007802927877463062
2026-05-15,20,low_vol,15,-0.04350369287558681,0.0027914478091526362
2026-05-15,20,low_vol,50,-0.03983356430298761,-0.0007109912391868312
2026-05-22,5,composite,15,0.036319418647256296,0.04399598128984106
2026-05-22,5,composite,50,0.0029493265367855556,-0.003045310423642089
2026-05-22,5,rule5,15,-0.06415338727035776,-0.03721650836484147
2026-05-22,5,rule5,50,-0.02947231855546196,-0.02674940907400758
2026-05-22,5,rule5_mom20,15,-0.055767822494731126,-0.03721650836484147
2026-05-22,5,rule5_mom20,50,-0.012547792699590964,-0.023931762718393257
2026-05-22,5,near_high,15,-0.07908485011644834,-0.009421719625852032
2026-05-22,5,near_high,50,-0.037738583349809035,-0.021780120072998788
2026-05-22,5,low_vol,15,-0.052590902698163584,-0.030909036920283794
2026-05-22,5,low_vol,50,-0.05469671341148171,-0.02674940907400758
2026-05-22,10,composite,15,-0.013456160589841896,0.04611117341024601
2026-05-22,10,composite,50,-0.03878189111059807,0.01205880180870561
2026-05-22,10,rule5,15,-0.029121909696906315,0.02603749113722803
2026-05-22,10,rule5,50,-0.014419192590674545,0.029341217211881265
2026-05-22,10,rule5_mom20,15,-0.03187014310978688,0.020040423120741113
2026-05-22,10,rule5_mom20,50,-0.01246037092186279,0.029341217211881265
2026-05-22,10,near_high,15,-0.04184488492034272,0.053859392182352306
2026-05-22,10,near_high,50,-0.023328421626686767,0.043613743504373026
2026-05-22,10,low_vol,15,-0.020877121341401447,0.02693853820107278
2026-05-22,10,low_vol,50,-0.027182638852163273,0.030474329191578664
2026-05-22,20,composite,15,-0.06719992704505076,0.023365181707986793
2026-05-22,20,composite,50,-0.06261130889331074,0.007381717228398366
2026-05-22,20,rule5,15,-0.010283036365124745,0.03791007192071688
2026-05-22,20,rule5,50,-0.021583560777835728,0.023552142652219887
2026-05-22,20,rule5_mom20,15,-0.023563825536889686,0.04392287227977515
