formation,horizon,names,mean_vs_mean,median_vs_median
2026-04-16,5,13,-0.0016838719308096555,0.006968631068591802
2026-04-16,10,13,0.02337367270724698,0.014440379988824192
2026-04-16,20,13,0.1361516556773918,0.033132019329507045
2026-05-06,5,14,-0.030949204957255762,0.007096787742968069
2026-05-06,10,14,0.06647181633316417,0.06319897109309691
2026-05-06,20,14,0.06817720290818281,0.06386776515425419
2026-05-15,5,14,0.04748573175330213,0.05483283053173138
2026-05-15,10,14,0.10132860532459598,0.07420017413313196
2026-05-15,20,14,0.06528384162284101,0.09060400765427568
2026-05-21,5,12,-0.04814732318331205,-0.02403238387287643
2026-05-21,10,12,-0.025895294734781887,-0.008854594369889557
2026-05-21,20,12,-0.06930923245157282,-0.0010935425874505356
2026-05-29,5,14,-0.012504039183863419,-0.010770809158693828
2026-05-29,10,14,-0.05539711640658117,-0.02677320038179698
2026-05-29,20,14,-0.029273099253364056,0.016877335338553512
2026-06-08,5,13,-0.0017357171596021695,-0.020036498960660287
2026-06-08,10,13,0.018584265244182354,-0.01769746347322254
2026-06-08,20,13,0.035246815117120966,-0.01055827568199541
2026-06-15,5,15,-0.006274592030070527,0.008462136805634235
2026-06-15,10,15,0.06188101375702856,0.045245431395038005
2026-06-15,20,15,0.0814445130453297,0.07638115746966079
2026-06-22,5,15,0.06334935943953612,0.07876037157803961
2026-06-22,10,15,0.08379300772801831,0.07759582481864657
2026-06-22,20,15,0.14551200154563093,0.10788076466655494
2026-06-26,5,14,0.004395279228875604,0.0062929585085698125
2026-06-26,10,14,0.04541912794080771,0.021069505770217933
2026-06-26,20,14,0.10850175504306903,0.06982110796809815
2026-07-06,5,12,0.02448282567030334,0.022187153752067368
2026-07-06,10,12,0.04888889303191889,0.043587347807412746
2026-07-06,20,12,0.004224129328036001,0.021490406405615614
2026-07-16,5,13,-0.026667811325866153,-0.014533942012071921
2026-07-16,10,13,-0.033875047867350336,-0.023646065799747373
2026-07-16,20,13,-0.02198954181758584,-0.03598247622200057
2026-07-21,5,14,0.021567523725148415,0.022369211128427713
2026-07-21,10,14,-0.00290756275019087,0.01204393952809546
2026-07-21,20,14,0.04433782492710381,0.059359149185267523
2026-07-27,5,14,-0.010639171823346845,-0.015551781745286042
2026-07-27,10,14,0.041148737794535206,-0.00040150380590742163
2026-07-27,20,14,0.03950441617287192,-0.016257386138823215
2026-07-31,5,15,-0.019554610052798398,-0.050821790143651624
2026-07-31,10,15,-0.025038994076596502,-0.07295758344762815
2026-07-31,20,14,0.022077780794856977,-0.034009211219974966
2026-08-07,5,15,-0.009812803219467535,0.001543171607290672
2026-08-07,10,15,0.011543503860793593,0.021542319265894894
2026-08-07,20,15,0.022305358280907062,0.03483488851062677
2026-08-14,5,15,0.026031923163047744,0.025141274512487433
2026-08-14,10,15,0.017629107357142303,0.026655013969574592
2026-08-14,20,15,0.001001250659333229,0.007310609347262409
2026-08-21,5,15,-0.005477997656272486,-0.003035578808893602
2026-08-21,10,15,0.033239166146392746,0.026339026895593642
2026-08-28,5,15,-0.014702955265298143,-0.0071789538256311625
2026-08-28,10,15,-0.005791746846633403,-0.015296865126228465
2026-09-04,5,14,0.01040665937769425,0.026308194573099075
