date,gate,ticker,excess_vs_survivor_median
2026-04-17,>40% above 50-day SMA,ADTN,0.09610785281365641
2026-04-17,>40% above 50-day SMA,AGPU,0.5764357967806287
2026-04-17,>40% above 50-day SMA,AIXI,-0.05603998741496807
2026-04-17,>40% above 50-day SMA,AMC,-0.2121761123660284
2026-04-17,>40% above 50-day SMA,ANL,-0.023601128889109813
2026-04-17,>40% above 50-day SMA,ASST,0.05309701361491881
2026-04-17,>40% above 50-day SMA,BBGI,-0.03823602863425524
2026-04-17,>40% above 50-day SMA,BFLY,-0.0009202842317869164
2026-04-17,>40% above 50-day SMA,BKSY,-0.045512340002216156
2026-04-17,>40% above 50-day SMA,BMEA,-0.37183653076016754
2026-04-17,>40% above 50-day SMA,BZAI,-0.1861904741805278
2026-04-17,>40% above 50-day SMA,CDXS,0.039142070028081455
2026-04-17,>40% above 50-day SMA,CODI,0.13099421660093513
2026-04-17,>40% above 50-day SMA,CURV,-0.22356419693871676
2026-04-17,>40% above 50-day SMA,CVGI,0.03803062051055284
2026-04-17,>40% above 50-day SMA,CYCN,0.08772419092594996
2026-04-17,>40% above 50-day SMA,EDIT,-0.16080044068540966
2026-04-17,>40% above 50-day SMA,ELDN,-0.06461033615412537
2026-04-17,>40% above 50-day SMA,GVH,0.7793808634867448
2026-04-17,>40% above 50-day SMA,HTZ,-0.1653664809613622
2026-04-17,>40% above 50-day SMA,HURA,-0.19380086597731494
2026-04-17,>40% above 50-day SMA,KODK,0.07816279671771664
2026-04-17,>40% above 50-day SMA,LWLG,0.3057021818404245
2026-04-17,>40% above 50-day SMA,MOVE,-0.09479478177831258
2026-04-17,>40% above 50-day SMA,MXL,1.9462059724857261
2026-04-17,>40% above 50-day SMA,NKTX,-0.1473656087452776
2026-04-17,>40% above 50-day SMA,OVID,-0.03298317926971761
2026-04-17,>40% above 50-day SMA,PAYS,0.09887403515730109
2026-04-17,>40% above 50-day SMA,PDSB,-0.2428910252061175
2026-04-17,>40% above 50-day SMA,ROLR,0.14545713809536143
2026-04-17,>40% above 50-day SMA,RYDE,-0.11926284059025305
2026-04-17,>40% above 50-day SMA,SGML,0.12235134257606461
2026-04-17,>40% above 50-day SMA,SKYQ,-0.25516675771616937
2026-04-17,>40% above 50-day SMA,SPIR,-0.06134687128803207
2026-04-17,>40% above 50-day SMA,TH,-0.0025276852459092947
2026-04-17,>40% above 50-day SMA,TLYS,-0.13737708974431828
2026-04-17,>40% above 50-day SMA,TRON,-0.22680579962747394
2026-04-17,>40% above 50-day SMA,UPXI,-0.10133512150062407
2026-04-17,>40% above 50-day SMA,VIVO,0.005128978546856566
2026-04-17,>40% above 50-day SMA,ZNTL,-0.11028044898937239
2026-04-17,>20% above 20-day SMA,ACH,0.1213492512060953
2026-04-17,>20% above 20-day SMA,ACHV,-0.1329224565692132
2026-04-17,>20% above 20-day SMA,ADTN,0.09610785281365641
2026-04-17,>20% above 20-day SMA,AGEN,-0.19007588987647617
2026-04-17,>20% above 20-day SMA,AIXI,-0.05603998741496807
2026-04-17,>20% above 20-day SMA,ALMU,0.5951025234090009
2026-04-17,>20% above 20-day SMA,AMC,-0.2121761123660284
2026-04-17,>20% above 20-day SMA,ANL,-0.023601128889109813
2026-04-17,>20% above 20-day SMA,APPS,-0.010412673344687873
2026-04-17,>20% above 20-day SMA,ASST,0.05309701361491881
2026-04-17,>20% above 20-day SMA,ASTI,-0.1968742003479219
2026-04-17,>20% above 20-day SMA,BBGI,-0.03823602863425524
2026-04-17,>20% above 20-day SMA,BBNX,-0.19898791009250782
2026-04-17,>20% above 20-day SMA,BDTX,-0.1420728371429293
2026-04-17,>20% above 20-day SMA,BFLY,-0.0009202842317869164
2026-04-17,>20% above 20-day SMA,BKSY,-0.045512340002216156
2026-04-17,>20% above 20-day SMA,BMBL,-0.015220291169353306
2026-04-17,>20% above 20-day SMA,BMEA,-0.37183653076016754
2026-04-17,>20% above 20-day SMA,BTCS,0.08825401843540248
2026-04-17,>20% above 20-day SMA,BTGO,-0.0588301013607615
2026-04-17,>20% above 20-day SMA,BTQ,-0.1735641693530956
2026-04-17,>20% above 20-day SMA,BZAI,-0.1861904741805278
2026-04-17,>20% above 20-day SMA,CADL,0.023952547957911796
2026-04-17,>20% above 20-day SMA,CDNA,0.011988799209185719
2026-04-17,>20% above 20-day SMA,CDXS,0.039142070028081455
2026-04-17,>20% above 20-day SMA,CETX,-0.09010666612141227
2026-04-17,>20% above 20-day SMA,CLIK,0.057496350844531086
2026-04-17,>20% above 20-day SMA,CLPT,-0.027369440735486306
2026-04-17,>20% above 20-day SMA,CLYM,-0.019038601353797313
2026-04-17,>20% above 20-day SMA,CODI,0.13099421660093513
2026-04-17,>20% above 20-day SMA,COHU,0.1131982801056185
2026-04-17,>20% above 20-day SMA,CRML,-0.0013002311060797966
2026-04-17,>20% above 20-day SMA,CRNC,0.11974826153093832
2026-04-17,>20% above 20-day SMA,CSTE,-0.21598845485250406
2026-04-17,>20% above 20-day SMA,DBI,-0.0073506817435977645
2026-04-17,>20% above 20-day SMA,DFDV,-0.039863181169921935
2026-04-17,>20% above 20-day SMA,DGXX,0.22115723556351818
2026-04-17,>20% above 20-day SMA,DOMO,-0.002272330362826147
2026-04-17,>20% above 20-day SMA,EDIT,-0.16080044068540966
2026-04-17,>20% above 20-day SMA,EHTH,0.11694958684957923
2026-04-17,>20% above 20-day SMA,ELDN,-0.06461033615412537
2026-04-17,>20% above 20-day SMA,EOSE,-0.090908043094173
2026-04-17,>20% above 20-day SMA,FLYX,-0.2338512321609354
2026-04-17,>20% above 20-day SMA,FNKO,0.024272321857479517
2026-04-17,>20% above 20-day SMA,FUSE,-0.06278427157447597
2026-04-17,>20% above 20-day SMA,FWRD,-0.030068854496827502
2026-04-17,>20% above 20-day SMA,GVH,0.7793808634867448
2026-04-17,>20% above 20-day SMA,HIMX,0.11726303698632246
2026-04-17,>20% above 20-day SMA,HIVE,-0.02361850416520639
2026-04-17,>20% above 20-day SMA,HPP,0.24300204802915648
2026-04-17,>20% above 20-day SMA,HTZ,-0.1653664809613622
2026-04-17,>20% above 20-day SMA,HURA,-0.19380086597731494
2026-04-17,>20% above 20-day SMA,ICHR,-0.011974189210811503
2026-04-17,>20% above 20-day SMA,IHRT,0.5521564318478794
2026-04-17,>20% above 20-day SMA,IRWD,0.010511363616975244
2026-04-17,>20% above 20-day SMA,JAGU,-0.13662229955601668
2026-04-17,>20% above 20-day SMA,JBLU,-0.16380731438377982
2026-04-17,>20% above 20-day SMA,KEEL,0.0811705697505275
2026-04-17,>20% above 20-day SMA,KLC,0.3545322806864347
2026-04-17,>20% above 20-day SMA,KODK,0.07816279671771664
2026-04-17,>20% above 20-day SMA,KOPN,0.45120705042365483
2026-04-17,>20% above 20-day SMA,KPTI,0.02683711227574237
2026-04-17,>20% above 20-day SMA,LAR,0.1821175777711198
2026-04-17,>20% above 20-day SMA,LDI,-0.11465100441815002
2026-04-17,>20% above 20-day SMA,LIFE,0.15948846565635832
2026-04-17,>20% above 20-day SMA,LTRN,-0.14034045121108807
2026-04-17,>20% above 20-day SMA,LWLG,0.3057021818404245
2026-04-17,>20% above 20-day SMA,MIST,-0.10126979129384517
2026-04-17,>20% above 20-day SMA,MOVE,-0.09479478177831258
2026-04-17,>20% above 20-day SMA,MRAM,0.7455215559511544
2026-04-17,>20% above 20-day SMA,MUX,-0.1696696307130776
2026-04-17,>20% above 20-day SMA,MVST,0.023638575856558597
2026-04-17,>20% above 20-day SMA,MXL,1.9462059724857261
2026-04-17,>20% above 20-day SMA,NAK,-0.020182017732356616
2026-04-17,>20% above 20-day SMA,NB,-0.019077150716450664
2026-04-17,>20% above 20-day SMA,NEWP,0.03375494986604444
2026-04-17,>20% above 20-day SMA,NEXA,-0.0229960225980248
2026-04-17,>20% above 20-day SMA,NKLR,0.04785797720677143
2026-04-17,>20% above 20-day SMA,NKTX,-0.1473656087452776
2026-04-17,>20% above 20-day SMA,OPTU,-0.033662153247392634
2026-04-17,>20% above 20-day SMA,PALI,-0.16257938678775408
2026-04-17,>20% above 20-day SMA,PDSB,-0.2428910252061175
2026-04-17,>20% above 20-day SMA,PENG,0.17654118713254452
2026-04-17,>20% above 20-day SMA,PGY,-0.04177938081427979
2026-04-17,>20% above 20-day SMA,PICS,-0.18755023101058332
2026-04-17,>20% above 20-day SMA,QMCO,0.04122097609717523
2026-04-17,>20% above 20-day SMA,QUBT,-0.029363544663557506
2026-04-17,>20% above 20-day SMA,RBBN,-0.01309831771884884
