horizon,phase,signal,n,mean_ic,sd,t_indep,all_positive,first,last
5,0,composite,18,0.030435483978513842,0.09994933049906006,1.2919228374483638,False,2026-04-17,2026-09-04
5,0,low_vol,18,0.07180571377138426,0.12291855780356291,2.478436521367044,False,2026-04-17,2026-09-04
5,0,mom20,18,0.004126562141928216,0.09176426404749644,0.19078800035064852,False,2026-04-17,2026-09-04
5,0,mom5,18,0.02036967072712352,0.1002592975634848,0.8619768531232177,False,2026-04-17,2026-09-04
5,0,mom60_riskadj,18,0.01344165132536246,0.08784743034487646,0.6491720542213867,False,2026-04-17,2026-09-04
5,0,mom60_skip5,18,0.014850514932293037,0.08727204776846914,0.7219424831599104,False,2026-04-17,2026-09-04
5,0,near_high,18,0.06226555700564872,0.12598298052814486,2.0968735971387362,False,2026-04-17,2026-09-04
5,0,squeeze,18,0.05358760459080699,0.11268812405459488,2.0175413644482223,False,2026-04-17,2026-09-04
5,0,squeeze_own,18,-0.00447338376857499,0.04424285777626319,-0.4289722893044601,False,2026-04-17,2026-09-04
5,0,vol_5_50,18,0.01982512823086632,0.05386475349893806,1.561520107230953,False,2026-04-17,2026-09-04
5,0,vol_ratio,18,0.024190738994831238,0.04617465566290244,2.222704469313693,False,2026-04-17,2026-09-04
5,0,vs_sma20,18,0.021011866518896725,0.0956470047939421,0.9320291837412229,False,2026-04-17,2026-09-04
5,0,vs_sma50,18,0.03569654194547709,0.09609285642188718,1.5760547337923227,False,2026-04-17,2026-09-04
10,0,composite,9,0.020582072874154048,0.11959859840119616,0.5162787812557225,False,2026-04-17,2026-08-28
10,0,low_vol,9,0.0744113186842058,0.1360965864017971,1.640261243537477,False,2026-04-17,2026-08-28
10,0,mom20,9,-0.009964843410279456,0.10422298699007523,-0.2868324070743157,False,2026-04-17,2026-08-28
10,0,mom5,9,-0.0037062025775422163,0.13214336074065997,-0.08414049461363139,False,2026-04-17,2026-08-28
10,0,mom60_riskadj,9,0.009555957278658756,0.11009601626356583,0.2603897289739025,False,2026-04-17,2026-08-28
10,0,mom60_skip5,9,0.010937228908619373,0.11219631674418092,0.29244887602390834,False,2026-04-17,2026-08-28
10,0,near_high,9,0.05256939279375217,0.13603617341777396,1.1593106040768049,False,2026-04-17,2026-08-28
10,0,squeeze,9,0.051724973699182795,0.13005651632598322,1.1931345347480056,False,2026-04-17,2026-08-28
10,0,squeeze_own,9,-0.019728736599040692,0.03828526923738833,-1.545926435312161,False,2026-04-17,2026-08-28
10,0,vol_5_50,9,0.05274954610497829,0.05467631727454647,2.894281220886187,False,2026-04-17,2026-08-28
10,0,vol_ratio,9,0.04122241385104079,0.06019393764726112,2.0544800088975297,False,2026-04-17,2026-08-28
10,0,vs_sma20,9,0.0016850716036503359,0.10866025898319792,0.046523124997637756,False,2026-04-17,2026-08-28
10,0,vs_sma50,9,0.027502460423044783,0.10435641250122335,0.7906306789548474,False,2026-04-17,2026-08-28
10,1,composite,9,0.07182902949308466,0.13479830185246675,1.5985890439116883,False,2026-04-24,2026-08-28
10,1,low_vol,9,0.10994667239793365,0.14623549268504604,2.2555400958930827,False,2026-04-24,2026-08-28
10,1,mom20,9,0.05102987191623672,0.12374251832100411,1.2371626004214322,False,2026-04-24,2026-08-28
10,1,mom5,9,-0.0037668416035563624,0.08087251567110128,-0.13973257437207656,False,2026-04-24,2026-08-28
10,1,mom60_riskadj,9,0.02114278918115236,0.08175668322377347,0.7758187470723271,False,2026-04-24,2026-08-28
10,1,mom60_skip5,9,0.018680303725054432,0.08184623324514029,0.6847097166623828,False,2026-04-24,2026-08-28
10,1,near_high,9,0.09871113463054583,0.15350220792571856,1.9291800938455541,False,2026-04-24,2026-08-28
10,1,squeeze,9,0.06934996182178223,0.1266603491362841,1.6425810199014137,False,2026-04-24,2026-08-28
10,1,squeeze_own,9,-0.018520686433714875,0.0475979221385802,-1.1673211099294847,False,2026-04-24,2026-08-28
10,1,vol_5_50,9,0.03700061175631586,0.0571346663661775,1.9428105969418645,False,2026-04-24,2026-08-28
10,1,vol_ratio,9,0.03310377235290883,0.039625068762436766,2.5062749456442655,False,2026-04-24,2026-08-28
10,1,vs_sma20,9,0.05737219418915582,0.10155888593501314,1.6947466583830364,False,2026-04-24,2026-08-28
10,1,vs_sma50,9,0.06234201395097748,0.11919614458558817,1.5690611680702422,False,2026-04-24,2026-08-28
20,0,composite,4,0.08021262109005461,0.15162455220159535,1.0580426444842044,False,2026-04-17,2026-07-24
20,0,low_vol,4,0.13072260650932285,0.18345183829795567,1.425143598692187,False,2026-04-17,2026-07-24
20,0,mom20,4,-0.007341699023937182,0.04773454691112085,-0.30760526700324736,False,2026-04-17,2026-07-24
20,0,mom5,4,-0.03977725366327062,0.0530137592654965,-1.500638861095039,False,2026-04-17,2026-07-24
20,0,mom60_riskadj,4,-0.015460835520323969,0.06679620795113975,-0.4629255460619351,False,2026-04-17,2026-07-24
20,0,mom60_skip5,4,-0.020342558636942912,0.07947890244120502,-0.5118983280372156,False,2026-04-17,2026-07-24
20,0,near_high,4,0.07983179031414603,0.11487901801587017,1.389841098800436,False,2026-04-17,2026-07-24
20,0,squeeze,4,0.10883785234782772,0.1735266357882273,1.254422433229835,False,2026-04-17,2026-07-24
20,0,squeeze_own,4,0.014429726594916608,0.07695806004146756,0.37500234769799007,False,2026-04-17,2026-07-24
20,0,vol_5_50,4,0.08875768781926449,0.06802712568163351,2.6094792902069646,False,2026-04-17,2026-07-24
20,0,vol_ratio,4,0.11388364804502776,0.11136926714128917,2.045153945397678,True,2026-04-17,2026-07-24
20,0,vs_sma20,4,0.003511069749863739,0.07735831072734341,0.09077420943791889,False,2026-04-17,2026-07-24
20,0,vs_sma50,4,0.016991837372910976,0.05066864431979604,0.670704243265981,False,2026-04-17,2026-07-24
20,1,composite,4,0.06799376776920281,0.16088722915155043,0.8452351144061899,False,2026-04-24,2026-07-31
20,1,low_vol,4,0.11318356103104601,0.1664433220824953,1.3600252580268517,True,2026-04-24,2026-07-31
20,1,mom20,4,0.05277970720247465,0.11953086980426322,0.8831142497147995,False,2026-04-24,2026-07-31
20,1,mom5,4,0.08055718746118057,0.19259762369879704,0.836533555441616,False,2026-04-24,2026-07-31
20,1,mom60_riskadj,4,-0.04424246910041246,0.09484753554281143,-0.9329176313799464,False,2026-04-24,2026-07-31
20,1,mom60_skip5,4,-0.04408018469553014,0.11184525299335121,-0.7882352360211576,False,2026-04-24,2026-07-31
20,1,near_high,4,0.10395471886471841,0.13984291401811647,1.4867355932135569,False,2026-04-24,2026-07-31
20,1,squeeze,4,0.06994883462245598,0.16036380165465594,0.8723768568805953,False,2026-04-24,2026-07-31
20,1,squeeze_own,4,-0.02553905532357565,0.02627663461806142,-1.9438604444437653,False,2026-04-24,2026-07-31
20,1,vol_5_50,4,0.06626961639804717,0.08640299509177596,1.533965722545997,False,2026-04-24,2026-07-31
20,1,vol_ratio,4,0.046685814907419736,0.10567630715578105,0.8835625726133405,False,2026-04-24,2026-07-31
20,1,vs_sma20,4,0.07503364236661542,0.13396215670508735,1.1202214746631642,False,2026-04-24,2026-07-31
20,1,vs_sma50,4,0.057543128055701734,0.06960122871225931,1.6535089716186662,False,2026-04-24,2026-07-31
20,2,composite,4,0.04650336065150186,0.035563791075797,2.615208291623882,True,2026-05-01,2026-08-07
20,2,low_vol,4,0.10688683331856864,0.15113831869239086,1.4144240089915718,False,2026-05-01,2026-08-07
20,2,mom20,4,0.03977068443125289,0.07371246869514057,1.079076176263643,False,2026-05-01,2026-08-07
20,2,mom5,4,0.053087341007364695,0.05811074285931993,1.8271093569009653,True,2026-05-01,2026-08-07
20,2,mom60_riskadj,4,-0.030670984586628335,0.02956458291934129,-2.074846424879766,False,2026-05-01,2026-08-07
20,2,mom60_skip5,4,-0.014015698577940388,0.048206848605970604,-0.5814816352133207,False,2026-05-01,2026-08-07
20,2,near_high,4,0.08789303143363923,0.04670129900750064,3.764050820921398,True,2026-05-01,2026-08-07
20,2,squeeze,4,0.08204925999643614,0.1551433955466466,1.057721596299168,False,2026-05-01,2026-08-07
20,2,squeeze_own,4,-0.00551326915589773,0.06625394312928953,-0.16642840849906862,False,2026-05-01,2026-08-07
20,2,vol_5_50,4,0.04663625305578472,0.07510517815983905,1.2418918162082864,False,2026-05-01,2026-08-07
20,2,vol_ratio,4,0.006025208836877532,0.04374601081266353,0.2754632353875505,False,2026-05-01,2026-08-07
20,2,vs_sma20,4,0.08002193805828502,0.04900611303713645,3.2657941264447974,True,2026-05-01,2026-08-07
20,2,vs_sma50,4,0.05406075090172126,0.044787048124565014,2.414124313411482,True,2026-05-01,2026-08-07
20,3,composite,4,0.1152016733348013,0.12223817258131033,1.8848723095589721,False,2026-05-08,2026-08-14
20,3,low_vol,4,0.13957648980627296,0.1091087772731299,2.558483254869108,True,2026-05-08,2026-08-14
