signal,horizon,dates,mean_ic,nw_t,hit_rate,mean_ic_eligible,q5_q1,mean_names,verdict_10d
mom20,5,21,0.01143471603627095,0.5767464060384718,0.47619047619047616,-0.008026953625921016,0.003746260857141135,864.7619047619048,UNPROVEN (rule 4)
vol_ratio,5,21,0.038546712351523196,2.8181935994660274,0.7619047619047619,0.03629920214775091,0.0058944774360136214,864.7619047619048,PASS (rule 2)
squeeze,5,21,0.0763904943551289,2.915346800473926,0.7142857142857143,0.08297787109042701,0.005474261043235606,864.7619047619048,PASS (rule 2)
composite,5,21,0.05342530532429862,2.163558318327743,0.8095238095238095,,0.0038699363672699866,864.7619047619048,PASS (rule 2)
mom5,5,21,0.009737531412581482,0.4569063921599494,0.42857142857142855,-0.0036958911164611565,0.0002207059297725622,864.7619047619048,DROP (rule 3)
mom60_skip5,5,21,0.017150243972932615,0.9437753377957583,0.6190476190476191,0.007153052329782565,-0.0002868568458166294,856.1904761904761,DROP (rule 3)
mom60_riskadj,5,21,0.017864417343331582,0.9817433878744526,0.7142857142857143,0.011921430493379024,0.0006734616145881305,856.1904761904761,DROP (rule 3)
vol_5_50,5,21,0.02592326576370189,2.065782420773831,0.6666666666666666,0.0157545506436986,0.0030044910499917384,858.6190476190476,PASS (rule 2)
squeeze_own,5,21,0.00043170492734299426,0.03988523947559452,0.42857142857142855,0.011180477911768889,-0.00048517104887461774,852.9047619047619,DROP (rule 3)
low_vol,5,21,0.09981607837834801,3.422834245140383,0.8571428571428571,0.10716281743777965,0.007566468554103233,864.4761904761905,PASS (rule 2)
near_high,5,21,0.0827512262749553,2.9626408328035554,0.8095238095238095,0.08307852887063058,0.011755735419400379,856.6190476190476,PASS (rule 2)
vs_sma50,5,21,0.03877426721804403,1.9726194112810989,0.8095238095238095,0.01698316275436503,0.007313673843624998,858.6190476190476,PASS (rule 2)
vs_sma20,5,21,0.028405740160385953,1.3223528126781596,0.7142857142857143,0.008916801210302958,0.003742064374948789,864.7619047619048,UNPROVEN (rule 4)
mom20,10,20,0.0313171866738944,1.2390653969393588,0.7,0.006276657813018266,-0.005085437426255199,851.85,UNPROVEN (rule 4)
vol_ratio,10,20,0.05150270976675388,3.221462939842646,0.8,0.05085747473897915,-0.0010466218339430188,851.85,PASS (rule 2)
squeeze,10,20,0.08556990924367305,2.4507436876014865,0.75,0.09471505837852363,-0.008804225332609725,851.85,PASS (rule 2)
composite,10,20,0.07173151426581684,2.146355688964207,0.85,,-0.003934122669922479,851.85,PASS (rule 2)
mom5,10,20,0.01746388182256164,0.6870120858265718,0.55,0.003745863681551933,-0.013337106552111963,851.85,DROP (rule 3)
mom60_skip5,10,20,0.010686493352286214,0.41982363198891004,0.6,0.00024797153860742633,-0.01988508660374956,843.35,DROP (rule 3)
mom60_riskadj,10,20,0.009561909457167379,0.39891830563585545,0.55,0.0027582875890045863,-0.017481736890740042,843.35,DROP (rule 3)
vol_5_50,10,20,0.04789291925928478,2.512401958420837,0.7,0.034638946398135376,-0.004376714951443867,845.85,PASS (rule 2)
squeeze_own,10,20,-0.00738447972068561,-0.6180874965197604,0.35,0.005835126635920134,0.0033974954200118646,840.15,DROP (rule 3)
low_vol,10,20,0.1131845170176959,2.8807788639624214,0.8,0.122827738569694,-0.004780951220342454,851.55,PASS (rule 2)
near_high,10,20,0.0974809512964448,2.7441251338881725,0.8,0.09642256814840372,0.0032717310356088687,843.8,PASS (rule 2)
vs_sma50,10,20,0.05157336008550134,2.2097523992624044,0.8,0.025409814856048086,-0.0029804835529134736,845.85,PASS (rule 2)
vs_sma20,10,20,0.042400705046281975,1.5009019126824317,0.65,0.01842155551045306,-0.008950224710742938,851.85,UNPROVEN (rule 4)
mom20,20,18,0.04119862444011107,1.6622416134901252,0.7222222222222222,0.012988023178843667,-0.01790630487297765,824.8333333333334,UNPROVEN (rule 4)
vol_ratio,20,18,0.06371386034362124,2.776874598553208,0.7777777777777778,0.06361082469322968,-0.006783972567451052,824.8333333333334,PASS (rule 2)
squeeze,20,18,0.10498076431113201,2.295126123344563,0.7777777777777778,0.1129048830863233,-0.006997372582477441,824.8333333333334,PASS (rule 2)
composite,20,18,0.0899464641922088,2.2215147036414025,0.8333333333333334,,-0.010560595773730853,824.8333333333334,PASS (rule 2)
mom5,20,18,0.02913655286950893,1.0721858871309318,0.6666666666666666,0.01339196834328722,-0.009802163515383983,824.8333333333334,DROP (rule 3)
mom60_skip5,20,18,-0.017057894716848956,-0.6495429071108214,0.4444444444444444,-0.026721387688926554,-0.05662835695722295,816.5,DROP (rule 3)
mom60_riskadj,20,18,-0.017031717006748555,-0.7219623813807962,0.4444444444444444,-0.023694173692881085,-0.04641041046713329,816.5,DROP (rule 3)
vol_5_50,20,18,0.06782744330281756,2.911884566155302,0.7222222222222222,0.05367572906714472,-0.0046389197512185275,818.9444444444445,PASS (rule 2)
squeeze_own,20,18,-0.0034401347593364163,-0.20407792992178075,0.4444444444444444,0.00643732205140277,0.001648074737652118,813.5,DROP (rule 3)
